都道府県,市町村,撮影場所,撮影日時,,緯度,経度,"夜空の明るさ
（等級（mag/□”）",ばらつき,周辺状況,継続観察登録地点,備考
北海道,函館市,,8月2日 9:01 PM,,41.78277778,140.7525,18,0.3,,,
北海道,函館市,,8月11日 8:58 PM,,41.77388889,140.7886111,19.2,0.1,,,
北海道,名寄市,なよろ市立天文台,8月4日 9:09 PM,,44.37388889,142.4827778,21.1,0.1,住宅地域,○,
北海道,松前町,,8月12日 9:28 PM,,41.6,139.9844444,20.8,0.1,,,
北海道,弟子屈町,北海道川上郡弟子屈町,9月6日 9:33 PM,,43.525,144.4025,21.9,0.2,農業地域,○,観察期間外
岩手県,大船渡市,,8月2日 10:20 PM,,39.10833333,141.7988889,20.1,0.1,,,
岩手県,大船渡市,,8月3日 10:20 PM,,39.08555556,141.7088889,19.7,0.1,,,
岩手県,大船渡市,,8月14日 10:15 PM,,38.98888889,141.7416667,20.5,0.1,,,
岩手県,大船渡市,,8月15日 10:05 PM,,39.06277778,141.7208333,18.3,0.1,,,
岩手県,久慈市,,8月3日 8:46 PM,,40.18611111,141.79,18.4,0.1,,,
岩手県,陸前高田市,箱根山展望台,8月2日 8:52 PM,,39.01333333,141.6947222,20.5,0.1,自然公園等,○,
岩手県,奥州市,岩手県胆沢郡金ケ崎町樺山遺跡付近,8月2日 9:21 PM,,39.23527778,141.1266667,20.4,0.1,農業地域,○,
岩手県,奥州市,,8月11日 8:20 PM,,39.08611111,140.9883333,21.6,0.2,,,
岩手県,雫石町,コテージむら管理センター 近辺,8月3日 10:05 PM,,39.63194444,140.9638889,21.2,0.1,農業地域,○,
岩手県,洋野町,ひろのまきば天文台,8月2日 9:32 PM,,40.28972222,141.6644444,21.6,0.2,農業地域,○,
宮城県,仙台市,,8月11日 10:08 PM,,38.25611111,140.7547222,19.8,0.1,,,
宮城県,登米市,ナイン・タウン駐車場,8月3日 8:31 PM,,38.72222222,141.2141667,20.4,0.1,住宅地域,○,
宮城県,登米市,ナイン・タウン駐車場,8月3日 9:03 PM,,38.74138889,141.2377778,20.7,0.1,住宅地域,○,
宮城県,柴田町,柴田郡柴田町本船迫,8月14日 9:50 PM,,38.07555556,140.7558333,21.8,0.1,自然公園等,○,薄雲あり
宮城県,南三陸町,南三陸ホテル観洋屋上,8月2日 8:14 PM,,38.6575,141.4491667,20.6,0.1,その他,○,
秋田県,秋田市,,8月11日 10:00 PM,,39.72694444,140.135,19.3,0.1,,,
秋田県,能代市,,8月9日 10:00 PM,,40.21555556,140.0280556,20.4,0.2,,,
福島県,郡山市,,8月3日 10:40 PM,,37.42361111,140.3441667,18.9,0.1,,,
福島県,白河市,白河関の森公園駐車場,8月14日 9:42 PM,,37.04472222,140.2297222,20.1,0.1,農業地域,○,
福島県,田村市,田村市 星の村天文台,8月11日 10:58 PM,,37.34166667,140.6761111,21.2,0.2,自然公園等,○,観察時間外
福島県,鏡石町,,8月3日 10:20 PM,,37.25611111,140.3352778,20,0.1,,,
福島県,鮫川村,鮫川村 赤坂西野,8月14日 8:19 PM,,37.07305556,140.4452778,20.3,0.1,森林山間地,○,
茨城県,つくば市,茨城県つくば市吾妻,8月13日 10:02 PM,,36.08305556,140.1172222,18.3,0.1,住宅地域,○,
栃木県,佐野市,栃木県佐野市 梅林公園,8月9日 9:20 PM,,36.35388889,139.6094444,19.6,0.1,農業地域,○,
栃木県,佐野市,栃木県佐野市 赤城神社,8月9日 10:00 PM,,36.29694444,139.5772222,19.1,0.1,住宅地域,○,
栃木県,大田原市,大田原市ふれあいの丘天文館,8月2日 9:21 PM,,36.80138889,140.0505556,20.7,0.2,自然公園等,○,
栃木県,大田原市,大田原市ふれあいの丘天文館,8月3日 9:37 PM,,36.80138889,140.0508333,20.2,0.1,自然公園等,○,
栃木県,那須町,,8月3日 9:54 PM,,37.05722222,140.0986111,19.7,0.1,,,
埼玉県,さいたま市,,8月9日 8:08 PM,,35.94638889,139.6916667,17.6,0.1,,,
埼玉県,さいたま市,さいたま市中央区本町東２丁目,8月10日 12:30 AM,,35.88194444,139.6227778,17.6,0.2,住宅地域,○,観察時間外，薄雲あり
埼玉県,さいたま市,浦和美園４丁目公園,8月15日 9:59 PM,,35.89611111,139.7322222,17.2,0.1,住宅地域,○,薄雲あり
埼玉県,越谷市,越天蒲生観測所,8月14日 10:13 PM,,35.86583333,139.8075,17.3,0.2,住宅地域,○,薄雲あり
千葉県,習志野市,谷津奏の杜公園,8月11日 8:05 PM,,35.68972222,140.0122222,,0.1,住宅地域,○,雲量多く測定不可
千葉県,鴨川市,千葉県鴨川市,8月15日 7:48 PM,,35.13916667,139.9980556,20.1,0.1,農業地域,○,薄雲あり
千葉県,いすみ市,いすみ市運動公園,8月4日 8:49 PM,,35.23388889,140.3594444,20.5,0.1,森林山間地,○,カメラ設定が異なる
東京都,文京区,東洋大学白山キャンパス１号館屋上,8月14日 8:07 PM,,35.72305556,139.7505556,17.1,0.1,商業地域,○,薄雲あり
東京都,中野区,なかのZERO,8月9日 8:40 PM,,35.70444444,139.6711111,16,0.1,商業地域,○,
東京都,足立区,,8月13日 11:24 PM,,35.78972222,139.8222222,17.4,0.1,,,観察時間外，薄雲あり
東京都,足立区,,8月14日 10:04 PM,,35.78972222,139.8225,17.4,0.1,,,薄雲あり
東京都,神津島村,東京都神津島村 よたね広場,8月10日 9:26 PM,,34.205,139.1391667,20.7,0.2,住宅地域,○,
東京都,神津島村,東京都神津島村 ヘリポート,8月13日 10:05 PM,,34.19888889,139.1266667,21.2,0.1,農業地域,○,
東京都,神津島村,東京都神津島村 赤崎遊歩道,8月14日 8:50 PM,,34.23944444,139.1372222,20.5,0.1,その他,○,
東京都,神津島村,東京都神津島村 三浦湾展望台,8月14日 9:48 PM,,34.19194444,139.1441667,21.6,0.1,その他,○,
東京都,小笠原村,東京都小笠原村父島　コペペ海岸,8月15日 9:28 PM,,27.06444444,142.1930556,22.5,0.1,森林山間地,○,
神奈川県,藤沢市,神奈川県藤沢市,8月15日 11:00 PM,,35.39805556,139.4691667,18,0.1,商業地域,○,観察時間外
新潟県,新潟市,,8月12日 12:19 AM,,37.93583333,139.0777778,19.1,0.1,,,観察時間外
新潟県,新潟市,,8月14日 9:31 PM,,37.89694444,139.0625,18.1,0.2,,,薄雲あり
