都道府県名,市町村名,撮影場所,撮影日時,緯度,経度,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,備考,継続観察登録地点
北海道,新ひだか町,静内二十間道路,2019/8/25 20:28,42.38223838,142.4159145,21.34,0.17,農業地域,,○
北海道,新ひだか町,静内二十間道路,2019/8/25 20:30,42.38194507,142.4153616,21.36,0.16,農業地域,,○
北海道,壮瞥町,壮瞥町森と木の里センター周辺,2019/8/27 20:12,42.57166239,140.9092637,21.25,0.08,森林山間地,,○
北海道,弟子屈町,北海道川上郡弟子屈町,2019/9/3 20:43,43.52482226,144.4026554,21.75,0.11,農業地域,,○
北海道,名寄市,なよろ市立天文台,2019/8/27 21:43,44.37415428,142.4831271,21.22,0.09,住宅地域,,○
北海道,名寄市,なよろ市立天文台,2019/9/1 20:23,44.37419646,142.4829313,21.11,0.08,住宅地域,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2019/9/24 19:52,43.45631458,143.765974,21.95,0.83,森林山間地,,○
北海道,札幌市,,2019/8/27 19:49,43.12493876,141.2547737,16.39,1.13,,薄曇り、観測時間外のため参考値,
北海道,名寄市,,2019/8/27 21:30,44.34693429,142.4596524,19.72,0.08,,,
北海道,伊達市,北湯沢温泉,2019/9/26 22:27,42.62451147,141.0257006,20.92,0.23,森林山間地,観測時間外のため参考値,○
北海道,札幌市,,2019/9/29 19:15,43.04528545,141.3526009,17.31,0.1,,,
青森県,深浦町,風車の丘白神展望台,2019/9/26 19:23,40.59359649,139.8761031,21.31,0.2,森林山間地,,○
青森県,弘前市,,2019/8/31 21:48,40.56154878,140.485729,19.94,0.15,,観測時間外のため参考値,
青森県,深浦町,風車の丘白神展望台,2019/9/1 20:52,40.59360464,139.8760709,18.71,0.29,森林山間地,,○
青森県,十和田市,,2019/9/27 19:57,40.4277409,140.8984995,20.84,0.19,,,
青森県,八戸市,八戸市 湊高台二丁目,2019/9/29 19:53,40.50541529,141.5402985,18.8,0.12,住宅地域,,○
青森県,八戸市,,2019/9/29 20:04,40.49476794,141.5331906,19.12,0.42,,,
青森県,八戸市,,2019/9/29 19:18,40.37997283,141.4987457,20.99,0.1,,,
岩手県,陸前高田市,箱根山展望台,2019/8/24 20:34,39.01353192,141.6949251,20.76,0.16,自然公園等,,○
岩手県,久慈市,久慈市長内町,2019/8/24 20:47,40.18632293,141.7900121,20,0.75,住宅地域,,○
岩手県,雫石町,コテージむら管理センター 近辺,2019/9/24 19:45,39.63195405,140.9640473,20.8,0.1,農業地域,,○
岩手県,奥州市,,2019/8/25 20:29,39.08632513,140.9886459,21.77,0.22,,,
岩手県,住田町,気仙群住田町 種山高原（遊林ランド種山）,2019/9/1 20:16,39.18126508,141.3980019,19.83,0.64,森林山間地,,○
岩手県,大船渡市,,2019/8/29 21:45,39.06326615,141.7210238,18.56,0,,観測時間外のため参考値,
岩手県,八幡平市,,2019/8/26 21:17,40.08526692,141.1311118,,,,14mmレンズで撮影範囲が広く、真の標準星との対応関係が不安定　測定不可,
岩手県,雫石町,コテージむら管理センター 近辺,2019/9/24 20:24,39.63193165,140.9638757,,,農業地域,データ差し替えのため解析除外,○
岩手県,金ケ崎町,,2019/9/30 19:38,39.18329593,140.9886346,20.73,0.12,,,
岩手県,奥州市,,2019/9/30 20:07,39.23671404,141.1299205,19.43,1.23,,,
岩手県,大船渡市,,2019/9/23 21:30,39.09119666,141.7138382,19.97,0.08,,観測時間外のため参考値,
岩手県,大船渡市,,2019/9/24 20:45,39.11074393,141.802976,20.77,0.04,,,
岩手県,洋野町,,2019/9/24 20:58,40.28647521,141.6625857,21.54,0.06,,,
宮城県,登米市,ナイン・タウン駐車場観測地点,2019/8/29 20:36,38.7221954,141.2141311,20.22,0.11,住宅地域,,○
宮城県,登米市,ナイン・タウン旧中田沼観測地点,2019/8/25 20:53,38.74151193,141.2379384,20.82,0.29,農業地域,,○
宮城県,登米市,ナイン・タウン米谷新中渡戸観測地点,2019/8/25 21:28,38.73684648,141.3111627,20.82,0.08,農業地域,,○
宮城県,柴田町,柴田郡柴田町本船迫,2019/9/26 20:16,38.07570613,140.7559545,20.08,0.12,自然公園等,,○
宮城県,登米市,ナイン・タウン駐車場観測地点,2019/9/26 19:35,38.72220796,141.2141499,20.02,0.05,住宅地域,,○
宮城県,登米市,ナイン・タウン旧中田沼観測地点,2019/9/26 19:57,38.74151193,141.2379035,20.45,0.06,農業地域,,○
宮城県,登米市,ナイン・タウン米谷新中渡戸観測地点,2019/9/26 20:35,38.73694774,141.3111895,20.75,0.08,農業地域,,○
宮城県,南三陸町,南三陸ホテル観洋屋上,2019/8/31 19:47,38.6571504,141.4488029,19.7,0.22,その他,,○
宮城県,名取市,,2019/9/26 19:07,38.16825833,140.8639233,18.66,0,,,
宮城県,名取市,,2019/9/26 19:21,38.16085167,140.8608767,18.59,0.16,,,
