都道府県,市区町村,撮影場所,撮影日時,緯度,経度,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,備考,継続観察登録地点
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2020/8/11 9:16 PM,43.45638889,143.76611111,22.18,0.11,森林山間地,,○
北海道,弟子屈町,北海道川上郡弟子屈町,2020/8/11 10:07 PM,43.52472222,144.40250000,21.72,0.13,農業地域,,○
北海道,弟子屈町,北海道川上郡弟子屈町,2020/8/16 9:07 PM,43.52472222,144.40250000,21.77,0.15,農業地域,,○
北海道,伊達市,北湯沢温泉,2020/8/16 9:56 PM,42.62444444,141.02583333,20.80,0.12,森林山間地,,○
北海道,伊達市,北湯沢温泉,2020/8/17 9:27 PM,42.62444444,141.02583333,19.69,0.06,森林山間地,,○
北海道,伊達市,北湯沢温泉,2020/8/23 8:50 PM,42.62444444,141.02555556,20.91,0.04,森林山間地,,○
北海道,壮瞥町,壮瞥町森と木の里センター周辺,2020/8/22 9:18 PM,42.56583333,140.89361111,21.03,0.13,森林山間地,,○
北海道,名寄市,なよろ市立天文台,2020/8/22 9:35 PM,44.37388889,142.48250000,21.30,0.13,住宅地域,,○
北海道,名寄市,なよろ市立天文台,2020/8/22 9:52 PM,44.37388889,142.48250000,21.42,0.15,住宅地域,,○
北海道,名寄市,なよろ市立天文台,2020/8/17 10:21 PM,44.37388889,142.48250000,21.29,0.10,住宅地域,,○
北海道,釧路市,,2020/8/19 8:26 PM,43.07361111,144.32027778,20.67,0.27,,,
北海道,釧路市,,2020/8/19 9:10 PM,42.98611111,144.37888889,18.15,0.12,,,
北海道,釧路市,,2020/8/22 9:08 PM,43.01777778,144.40500000,18.88,0.06,,,
青森県,八戸市,八戸市 湊高台二丁目,2020/8/12 9:36 PM,40.50527778,141.54027778,19.35,0.10,住宅地域,,○
青森県,十和田市,,2020/8/12 8:13 PM,40.60000000,140.95222222,21.52,0.15,,,
青森県,十和田市,,2020/8/12 8:21 PM,40.60000000,140.95194444,21.22,0.13,,,
青森県,十和田市,十和田湖付近,2020/8/19 10:01 PM,40.42638889,140.89638889,21.34,0.24,自然公園等,,○
青森県,十和田市,十和田湖付近,2020/8/20 9:30 PM,40.42750000,140.89750000,21.10,0.04,自然公園等,,○
岩手県,二戸市,二戸市福岡 古梅児童公園の近辺,2020/8/12 9:56 PM,40.27138889,141.31472222,20.82,0.12,住宅地域,,○
岩手県,陸前高田市,箱根山展望台,2020/8/20 8:14 PM,39.01388889,141.69472222,20.82,0.16,自然公園等,,○
岩手県,陸前高田市,,2020/8/19 8:44 PM,38.93833333,141.70277778,21.39,0.10,,,
岩手県,奥州市,,2020/8/19 8:36 PM,39.08638889,140.98666667,21.40,0.16,,,
岩手県,雫石町,コテージむら管理センター 近辺,2020/8/19 8:31 PM,39.63166667,140.96388889,21.59,0.39,農業地域,,○
岩手県,久慈市,久慈市長内町,2020/8/17 8:35 PM,40.18611111,141.79000000,20.39,0.35,住宅地域,,○
宮城県,栗原市,,2020/8/13 9:39 PM,38.73833333,141.03027778,20.35,0.09,,,
宮城県,栗原市,,2020/8/20 8:56 PM,38.73833333,141.03000000,19.85,0.08,,,
宮城県,柴田町,柴田郡柴田町本船迫,2020/8/13 8:56 PM,38.07555556,140.75583333,19.74,0.13,自然公園等,,○
宮城県,登米市,ナイン・タウン駐車場観測地点,2020/8/20 9:30 PM,38.72194444,141.21416667,20.28,0.09,住宅地域,,○
