都道府県,市区町村,撮影場所,撮影日時,緯度,経度,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,備考,継続観察登録地点
北海道,伊達市,,2022/1/24 18:51,42.635,141.0605556,20.78,0.22,,,
北海道,伊達市,北湯沢温泉,2022/1/24 19:17,42.62416667,141.0255556,20.21,0.07,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/1/27 19:37,43.45638889,143.7661111,20.39,0.09,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/1/27 20:01,43.45638889,143.7658333,20.65,0.06,森林山間地,,○
北海道,登別市,,2022/1/27 19:32,42.46027778,141.1022222,20.49,0.1,,,
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/1/29 20:05,43.45638889,143.7661111,20.78,0.1,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/1/30 20:01,43.45638889,143.7661111,20.84,0.11,森林山間地,,○
北海道,伊達市,北湯沢温泉,2022/1/31 18:59,42.62388889,141.0252778,19.96,0.1,森林山間地,,○
北海道,伊達市,北湯沢温泉,2022/1/31 18:56,42.62388889,141.0252778,19.62,0.07,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/1/31 20:02,43.45638889,143.7661111,20.85,0.16,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/2/1 20:02,43.45638889,143.7658333,20.94,0.11,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/2/2 20:01,43.45638889,143.7661111,20.68,0.09,森林山間地,,○
北海道,壮瞥町,,2022/1/27 20:25,42.57138889,140.9091667,20.53,0.09,,,
北海道,名寄市,なよろ市立天文台,2022/1/24 18:36,44.37388889,142.4827778,19.88,0.2,住宅地域,,○
北海道,名寄市,なよろ市立天文台,2022/2/1 18:16,44.37416667,142.4827778,19.64,0.16,住宅地域,,○
北海道,弟子屈町,北海道川上郡弟子屈町,2022/1/30 18:38,43.52444444,144.4025,21.3,0.09,農業地域,,○
北海道,弟子屈町,北海道川上郡弟子屈町,2022/1/30 19:46,43.52472222,144.4025,21.15,0.1,農業地域,,○
北海道,名寄市,なよろ市立天文台,2022/1/27 20:05,44.37388889,142.4827778,19.83,0.11,住宅地域,,○
青森県,十和田市,十和田湖付近,2022/2/3 18:59,40.42666667,140.8966667,19.22,0.1,自然公園等,,○
青森県,十和田市,十和田湖付近,2022/2/4 18:55,40.42805556,140.8969444,19.11,0.27,自然公園等,,○
青森県,八戸市,,2022/2/1 19:46,40.50527778,141.5402778,18.29,0.09,,,
岩手県,二戸市,二戸市福岡 古梅児童公園の近辺,2022/2/1 18:41,40.27138889,141.3147222,19.8,0.06,住宅地域,,○
岩手県,陸前高田市,,2022/2/4 20:00,39.01166667,141.6891667,20.76,0.1,,,
岩手県,大船渡市,大船渡市防災観光交流センター（おおふなぽーと）,2022/1/29 19:18,39.06305556,141.7211111,19.13,0.19,商業地域,,○
岩手県,大船渡市,大船渡市立博物館,2022/1/29 18:53,38.98888889,141.7416667,21.08,0.07,自然公園等,,○
岩手県,大船渡市,大船渡市猪川町字中井沢,2022/1/25 20:06,39.09083333,141.7138889,19.29,0.08,住宅地域,,○
岩手県,陸前高田市,,2022/2/5 18:32,39.00611111,141.6275,16.5,0.37,,参考値（薄雲）,
岩手県,陸前高田市,,2022/2/5 18:51,39.01055556,141.6925,17.27,0.36,,参考値（薄雲）,
宮城県,南三陸町,南三陸ホテル観洋屋上,2022/2/2 18:55,38.65833333,141.4488889,20.3,0.03,その他,,○
宮城県,柴田町,柴田郡柴田町本船迫,2022/1/28 19:49,38.07555556,140.7561111,19.31,0.07,自然公園等,,○
福島県,広野町,双葉郡広野町,2022/1/24 19:58,37.21555556,140.9930556,19.75,0.07,住宅地域,,○
福島県,広野町,双葉郡広野町,2022/1/24 19:54,37.21555556,140.9930556,19.62,0.07,住宅地域,,○
福島県,いわき市,いわき市中央台鹿島,2022/1/24 20:00,37.0075,140.9241667,19.33,0.07,住宅地域,,○
福島県,広野町,SUZUKI天体観測所,2022/1/28 18:44,37.19166667,140.9513889,20.75,0.06,森林山間地,,○
福島県,広野町,双葉郡広野町,2022/1/28 19:37,37.21555556,140.9930556,20.07,0.08,住宅地域,,○
福島県,いわき市,いわき市中央台鹿島,2022/1/28 20:20,37.0075,140.9241667,19.29,0.09,住宅地域,,○
福島県,広野町,双葉郡広野町,2022/2/4 19:27,37.21555556,140.9930556,20.08,0.08,住宅地域,,○
福島県,白河市,白河関の森公園駐車場,2022/2/2 20:15,37.04472222,140.2286111,20.65,0.07,農業地域,,○
福島県,田村市,,2022/1/28 20:21,37.43305556,140.7280556,20.32,0.09,,,
福島県,田村市,星の村天文台,2022/1/28 20:36,37.34166667,140.6761111,19.87,0.1,自然公園等,,○
茨城県,つくば市,つくば市吾妻,2022/2/1 18:56,36.08333333,140.1183333,17.57,0.13,住宅地域,,○
茨城県,つくば市,つくば市吾妻,2022/2/1 19:12,36.08333333,140.1183333,17.86,0.08,住宅地域,,○
茨城県,桜川市,,2022/2/5 18:42,36.27666667,140.1455556,19.62,0.08,,,
茨城県,桜川市,,2022/2/5 18:56,36.27666667,140.1455556,19.69,0.08,,,
茨城県,桜川市,,2022/2/5 19:10,36.27666667,140.1455556,19.71,0.08,,,
茨城県,つくば市,,2022/2/5 19:54,36.17666667,140.1030556,19.24,0.09,,,
茨城県,つくば市,,2022/2/5 20:00,36.1775,140.1030556,19.29,0.05,,,
茨城県,つくば市,つくば市吾妻,2022/2/5 20:28,36.08333333,140.1183333,18.18,0.08,住宅地域,,○
茨城県,つくば市,つくば市吾妻,2022/2/5 20:37,36.08333333,140.1183333,18.25,0.1,住宅地域,,○
栃木県,塩谷町,星ふる学校「くまの木」,2022/1/29 18:44,36.78305556,139.8463889,20.21,0.08,農業地域,,○
栃木県,宇都宮市,,2022/2/3 20:25,36.5575,139.8786111,17.79,0.24,,,
栃木県,佐野市,佐野市 梅林公園,2022/1/28 20:17,36.35416667,139.6094444,19.41,0.07,農業地域,,○
栃木県,佐野市,佐野市 赤城神社,2022/1/24 20:32,36.29694444,139.5772222,18.8,0.05,住宅地域,,○
栃木県,塩谷町,,2022/1/29 18:44,36.79972222,139.8463889,20.21,0.08,,,
栃木県,佐野市,作原自然環境保全地域,2022/1/24 18:37,36.56416667,139.4688889,20.33,0.08,自然公園等,,○
栃木県,佐野市,作原自然環境保全地域,2022/1/24 18:38,36.56416667,139.4688889,20.34,0.08,自然公園等,,○
群馬県,高山村,,2022/1/24 18:33,36.62361111,138.9563889,20.1,0.1,,,
群馬県,高山村,,2022/1/24 18:44,36.58888889,138.9625,20.22,0.09,,,
群馬県,吉岡町,,2022/1/24 19:44,36.43111111,139.0155556,18.64,0.13,,,
群馬県,玉村町,群馬県佐波郡玉村町道の駅玉村宿,2022/1/29 19:57,36.3075,139.0966667,18.1,0.15,農業地域,,○
群馬県,前橋市,,2022/1/29 18:22,36.39583333,139.0602778,17.54,0.08,,,
群馬県,榛東村,,2022/1/30 18:34,36.44138889,138.9758333,19.14,0.08,,,
群馬県,高山村,群馬県吾妻郡高山村ぐんま天文台,2022/1/24 18:57,36.59694444,138.9738889,20.34,0.13,森林山間地,,○
群馬県,安中市,,2022/2/4 20:17,36.33861111,138.7397222,19.82,0.09,,,
埼玉県,入間市,,2022/1/31 23:45,35.81111111,139.3216667,18.77,0.15,,参考値（時間外）,
埼玉県,越谷市,越天蒲生観測所,2022/1/31 18:48,35.86583333,139.8075,17.36,0.05,住宅地域,,○
埼玉県,松伏町,,2022/2/5 19:47,35.92944444,139.8263889,17.95,0.1,,,
埼玉県,さいたま市　緑区,浦和美園４丁目公園,2022/1/29 19:24,35.89611111,139.7322222,17.06,0.11,住宅地域,,○
埼玉県,秩父市,アストレア大滝天体観測所,2022/1/31 20:27,35.91805556,138.9752778,20.5,0.01,自然公園等,,○
千葉県,松戸市,松戸市内,2022/1/31 19:20,35.77944444,139.9044444,17.37,0.1,住宅地域,,○
千葉県,松戸市,松戸市内,2022/1/31 19:24,35.77944444,139.9044444,17.32,0.14,住宅地域,,○
