No.,都道府県,市区町村,撮影場所,撮影日時,緯度,経度,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,備考,継続観察登録地点
1,北海道,伊達市,北湯沢温泉,2025/1/25 18:43,42.62388889,141.0252778,20.45,0.09,森林山間地,,○
2,北海道,弟子屈町,,2025/1/21 18:26,43.475,144.4113889,20.99,0.09,,,
3,北海道,弟子屈町,,2025/1/21 18:58,43.41444444,144.5083333,21.25,0.07,,,
4,北海道,弟子屈町,,2025/1/22 18:05,43.46277778,144.2319444,21.47,0.2,,,
5,北海道,弟子屈町,北海道川上郡弟子屈町,2025/1/28 19:04,43.525,144.4025,21.42,0.13,農業地域,,○
6,北海道,弟子屈町,,2025/1/29 19:19,43.47972222,144.4502778,16.96,0.16,,参考値（薄雲）,
7,北海道,弟子屈町,,2025/1/29 19:34,43.48083333,144.3961111,18.81,0.11,,参考値（薄雲）,
8,北海道,弟子屈町,,2025/1/28 18:37,43.61833333,144.4425,21.06,0.29,,,
9,北海道,名寄市,なよろ市立天文台,2025/1/21 18:27,44.37388889,142.4830556,19.54,0.14,住宅地域,,○
10,北海道,名寄市,なよろ市立天文台,2025/1/23 19:01,44.37388889,142.4827778,19.86,0.1,住宅地域,,○
11,北海道,むかわ町,,2025/2/2 18:44,42.62361111,142.0872222,20.88,0.12,,,
12,青森県,八戸市,,2025/1/24 19:59,40.49472222,141.5330556,18.86,0.08,,,
13,岩手県,二戸市,二戸市福岡 古梅児童公園の近辺,2025/2/1 19:49,40.27166667,141.3147222,20.08,0.08,住宅地域,,○
14,宮城県,気仙沼市,,2025/1/25 2:46,38.86361111,141.6238889,21.46,0.04,,参考値（時間外）,
15,宮城県,気仙沼市,,2025/1/22 20:18,38.89305556,141.6491667,20.82,0.12,,,
16,宮城県,気仙沼市,,2025/1/22 20:31,38.88916667,141.6677778,20.92,0.07,,,
17,宮城県,気仙沼市,,2025/1/22 20:48,38.895,141.6627778,20.96,0.1,,参考値（時間外）,
18,宮城県,気仙沼市,,2025/1/22 21:10,38.86,141.6719444,21.09,0.09,,参考値（時間外）,
19,宮城県,南三陸町,南三陸ホテル観洋屋上,2025/2/2 20:27,38.65861111,141.4491667,20.6,0.12,その他,,○
20,山形県,朝日町,山形県朝日町　Asahi自然観,2025/1/22 19:21,38.30805556,140.0563889,20.8,0.08,その他,,○
21,山形県,朝日町,山形県朝日町　Asahi自然観,2025/1/22 19:29,38.30805556,140.0563889,20.76,0.1,その他,,○
22,山形県,朝日町,山形県朝日町　Asahi自然観,2025/1/25 19:42,38.30805556,140.0566667,20.93,0.09,その他,,○
23,山形県,朝日町,山形県朝日町　Asahi自然観,2025/1/25 19:44,38.30805556,140.0566667,20.93,0.09,その他,,○
24,山形県,朝日町,山形県朝日町　Asahi自然観,2025/1/26 18:59,38.30805556,140.0566667,20.95,0.08,その他,,○
25,山形県,朝日町,山形県朝日町　Asahi自然観,2025/1/26 19:06,38.30805556,140.0563889,20.94,0.11,その他,,○
26,福島県,広野町,双葉郡広野町,2025/1/23 18:55,37.21555556,140.9930556,19.3,0.08,住宅地域,,○
27,福島県,広野町,双葉郡広野町,2025/1/25 20:02,37.21555556,140.9930556,20.32,0.08,住宅地域,,○
28,福島県,広野町,SUZUKI天体観測所,2025/1/29 19:11,37.19166667,140.9511111,20.82,0.11,森林山間地,,○
29,福島県,いわき市,いわき市中央台鹿島,2025/1/29 20:32,37.0075,140.9241667,19.1,0.27,住宅地域,,○
30,福島県,いわき市,いわき市中央台鹿島,2025/1/30 20:33,37.0075,140.9241667,19.26,0.13,住宅地域,,○
31,福島県,白河市,白河関の森公園駐車場,2025/2/2 19:25,37.04472222,140.2286111,19.04,0.17,農業地域,,○
32,福島県,田村市,星の村天文台,2025/1/31 19:33,37.34166667,140.6761111,20.71,0.07,自然公園等,,○
33,茨城県,つくば市,つくば市吾妻,2025/1/23 20:03,36.08361111,140.1180556,17.36,0.09,住宅地域,,○
34,茨城県,城里町,,2025/1/25 18:52,36.43777778,140.3575,19.67,0.1,,,
35,茨城県,城里町,,2025/1/25 20:20,36.43777778,140.3575,19.75,0.08,,,
36,茨城県,つくば市,,2025/1/26 20:17,36.08333333,140.1183333,18.22,0.06,,,
37,茨城県,つくば市,つくば市吾妻,2025/1/29 20:27,36.08333333,140.1183333,18.24,0.07,住宅地域,,○
38,茨城県,つくば市,つくば市吾妻,2025/1/29 20:27,36.08333333,140.1183333,18.24,0.11,住宅地域,,○
39,茨城県,つくば市,つくば市吾妻,2025/1/30 20:20,36.08333333,140.1183333,18.23,0.12,住宅地域,,○
40,茨城県,常陸大宮市,,2025/1/25 20:02,36.65111111,140.2886111,20.68,0.05,,,
41,栃木県,塩谷町,星ふる学校「くまの木」,2025/1/18 18:26,36.8,139.8463889,20.3,0.09,農業地域,,○
42,栃木県,佐野市,佐野市 赤城神社,2025/1/25 19:24,36.29694444,139.5772222,18.62,0.08,住宅地域,,○
43,栃木県,佐野市,佐野市 梅林公園,2025/1/23 20:08,36.35388889,139.6094444,18.64,0.16,農業地域,,○
44,栃木県,大田原市,,2025/1/29 18:57,36.80027778,140.0508333,20.27,0.14,,,
45,栃木県,佐野市,作原自然環境保全地域,2025/1/23 18:55,36.56444444,139.4691667,20.28,0.07,自然公園等,,○
46,栃木県,佐野市,作原自然環境保全地域,2025/1/26 18:30,36.56444444,139.4691667,20.29,0.08,自然公園等,,○
47,群馬県,渋川市,,2025/1/25 18:49,36.48944444,139.0413889,19.26,0.06,,,
48,群馬県,渋川市,,2025/1/25 19:13,36.49194444,138.9983333,18.83,0.21,,,
49,群馬県,渋川市,,2025/1/25 19:26,36.48944444,139.0013889,18.87,0.11,,,
50,群馬県,前橋市,,2025/1/25 19:48,36.43888889,139.0438889,18.45,0.18,,,
51,群馬県,前橋市,,2025/1/25 20:02,36.40972222,139.0525,18.17,0.43,,,
52,群馬県,前橋市,,2025/1/25 20:12,36.39611111,139.0597222,18.11,0.28,,,
53,群馬県,渋川市,,2025/1/25 20:40,36.49583333,139.0580556,19.81,0.09,,,
54,群馬県,玉村町,群馬県佐波郡玉村町道の駅玉村宿,2025/1/27 19:25,36.30777778,139.0958333,17.87,0.21,農業地域,,○
55,群馬県,高山村,群馬県吾妻郡高山村ぐんま天文台,2025/1/22 19:04,36.59694444,138.9741667,20.42,0.12,森林山間地,,○
56,群馬県,高山村,,2025/1/22 19:21,36.62416667,138.9561111,20.24,0.14,,,
57,群馬県,高山村,,2025/1/22 18:50,36.58611111,138.9402778,19.43,0.53,,測定不可（雲量大）,
58,群馬県,下仁田町,,2025/1/25 20:27,36.24472222,138.6197222,20.88,0.18,,,
59,埼玉県,草加市,東武スカイツリーライン谷塚駅前,2025/1/25 19:42,35.81666667,139.8002778,17.15,0.13,商業地域,,○
60,埼玉県,草加市,東武スカイツリーライン谷塚駅前,2025/1/25 19:42,35.81694444,139.8002778,17.15,0.13,商業地域,,○
61,埼玉県,さいたま市　緑区,浦和美園４丁目公園,2025/1/25 19:31,35.89611111,139.7322222,17.31,0.09,住宅地域,,○
62,埼玉県,越谷市,越天蒲生観測所,2025/1/29 18:53,35.86583333,139.8075,16.82,0.26,住宅地域,,○
63,千葉県,佐倉市,,2025/1/21 19:51,35.74722222,140.2352778,18.39,0.07,,,
64,千葉県,佐倉市,,2025/1/21 20:15,35.74194444,140.2005556,18.33,0.08,,,
65,千葉県,八千代市,,2025/1/21 19:11,35.76388889,140.1366667,18.03,0.09,,,
66,千葉県,八千代市,,2025/1/21 18:45,35.75694444,140.1063889,17.72,0.09,,,
67,千葉県,君津市,,2025/1/28 19:09,35.25416667,139.9733333,19.78,0.1,,,
68,千葉県,鋸南町,,2025/1/28 19:52,35.12555556,139.9016667,20.42,0.06,,,
69,千葉県,鴨川市,,2025/1/28 20:23,35.13083333,139.9763889,20.58,0.08,,,
70,千葉県,鴨川市,鴨川市内,2025/1/28 20:15,35.13916667,139.9966667,20.4,0.08,農業地域,,○
71,東京都,千代田区,,2025/1/22 20:17,35.68138889,139.765,15.98,0.13,,,
72,東京都,三鷹市,三鷹市大沢,2025/1/22 19:54,35.67444444,139.5377778,17.21,0.1,住宅地域,,○
73,東京都,文京区,東洋大学白山キャンパス１号館屋上,2025/1/26 19:23,35.72305556,139.7505556,16.96,0.11,商業地域,,○
74,東京都,千代田区,,2025/1/29 18:44,35.67944444,139.7572222,16.28,0.15,,,
75,東京都,千代田区,,2025/1/29 19:02,35.67333333,139.7541667,16.32,0.22,,,
76,東京都,杉並区,,2025/1/29 20:03,35.68722222,139.6455556,17.07,0.14,,,
77,東京都,中野区,なかのZERO,2025/1/30 19:21,35.70444444,139.6711111,16.9,0.13,商業地域,,○
78,東京都,小金井市,都立小金井公園　いこいの広場,2025/1/30 19:42,35.71611111,139.5166667,17.29,0.06,自然公園等,,○
79,東京都,小笠原村,小笠原村父島　コペペ海岸,2025/1/22 19:00,27.06444444,142.1930556,21.57,0.1,森林山間地,,○
80,東京都,羽村市,羽村市,2025/1/26 20:00,35.77194444,139.3008333,18.08,0.09,住宅地域,,○
81,東京都,神津島村,神津島村 ヘリポート,2025/1/30 20:11,34.19861111,139.1266667,21.29,0.1,農業地域,,○
82,東京都,神津島村,神津島村 よたね広場,2025/1/30 19:58,34.20472222,139.1394444,21.17,0.09,住宅地域,,○
83,東京都,神津島村,神津島村 三浦湾展望台,2025/1/30 20:22,34.19166667,139.1441667,21.35,0.15,その他,,○
84,東京都,神津島村,神津島村 赤崎遊歩道,2025/1/30 20:40,34.23972222,139.1375,21.39,0.12,その他,,○
85,神奈川県,藤沢市,藤沢市内,2025/1/22 19:48,35.3975,139.4697222,17.15,0.08,商業地域,,○
86,神奈川県,平塚市,平塚市岡崎,2025/1/28 19:48,35.36888889,139.3205556,18.43,0.06,農業地域,,○
87,神奈川県,相模原市　南区,相模原市南区下溝,2025/1/29 20:56,35.53833333,139.3738889,17.99,0.1,農業地域,,○
88,神奈川県,清川村,神奈川県清川村内,2025/1/29 19:37,35.46194444,139.2136111,19.37,0.08,森林山間地,,○
89,神奈川県,川崎市　多摩区,,2025/1/29 19:49,35.61777778,139.5347222,16.73,0.19,,,
90,神奈川県,川崎市　多摩区,,2025/1/30 19:24,35.61416667,139.5727778,17.14,0.11,,,
91,神奈川県,川崎市　麻生区,,2025/1/22 20:34,35.57611111,139.51,17.62,0.07,,,
92,神奈川県,川崎市　麻生区,,2025/1/22 20:52,35.5725,139.5155556,17.64,0.07,,,
93,神奈川県,川崎市　麻生区,,2025/1/22 21:02,35.5725,139.5180556,17.77,0.08,,参考値（時間外）,
94,神奈川県,川崎市　麻生区,,2025/1/22 21:11,35.57027778,139.515,17.8,0.05,,参考値（時間外）,
95,神奈川県,川崎市　麻生区,,2025/1/22 21:18,35.57166667,139.5125,17.84,0.04,,参考値（時間外）,
96,神奈川県,川崎市　麻生区,,2025/1/25 18:43,35.57694444,139.5111111,17.64,0.08,,,
97,神奈川県,川崎市　麻生区,,2025/1/25 18:51,35.575,139.5130556,17.68,0.1,,,
98,神奈川県,川崎市　麻生区,,2025/1/25 18:57,35.5725,139.5155556,17.68,0.09,,,
99,神奈川県,川崎市　麻生区,,2025/1/25 19:03,35.57277778,139.5180556,17.69,0.09,,,
100,神奈川県,川崎市　麻生区,,2025/1/25 19:08,35.57166667,139.5158333,17.71,0.07,,,
101,神奈川県,川崎市　麻生区,,2025/1/25 19:12,35.57027778,139.515,17.72,0.08,,,
102,神奈川県,川崎市　麻生区,,2025/1/25 19:17,35.57138889,139.5127778,17.74,0.07,,,
103,神奈川県,川崎市　麻生区,,2025/1/25 19:28,35.57638889,139.5113889,17.75,0.1,,,
104,神奈川県,川崎市　麻生区,,2025/1/25 19:29,35.57611111,139.5113889,17.75,0.09,,,
105,神奈川県,川崎市　麻生区,,2025/1/29 20:34,35.57722222,139.5111111,17.85,0.08,,,
106,神奈川県,川崎市　麻生区,,2025/1/29 22:41,35.575,139.5130556,18.19,0.09,,参考値（時間外）,
107,新潟県,新潟市　北区,,2025/1/19 18:41,37.91055556,139.2394444,19.11,0.11,,,
108,新潟県,新潟市　西区,,2025/2/2 19:20,37.84527778,138.8808333,20.11,0.06,,,
109,新潟県,新潟市　西蒲区,,2025/2/2 19:46,37.79111111,138.8691667,20.1,0.08,,,
110,富山県,富山市,富山県富山市三熊　古洞ダム付近,2025/1/21 20:26,36.65972222,137.1033333,19.49,0.05,自然公園等,,○
111,富山県,黒部市,富山県黒部市黒部市吉田科学館,2025/1/21 19:14,36.90138889,137.4252778,19.45,0.09,住宅地域,,○
112,石川県,かほく市,,2025/1/21 19:11,36.71861111,136.7044444,18.91,0.11,,,
113,石川県,能登町,石川県柳田星の観察館「満天星」 ,2025/1/21 19:03,37.335,137.1369444,21.07,0.09,自然公園等,,○
114,石川県,能登町,石川県柳田星の観察館「満天星」 ,2025/1/21 19:12,37.335,137.1369444,21.16,0.1,自然公園等,,○
115,石川県,能登町,石川県柳田星の観察館「満天星」 ,2025/1/22 19:09,37.335,137.1369444,21.2,0.08,自然公園等,,○
116,石川県,能登町,石川県柳田星の観察館「満天星」 ,2025/1/22 19:45,37.335,137.1369444,21.22,0.09,自然公園等,,○
117,石川県,能登町,石川県柳田星の観察館「満天星」 ,2025/1/24 20:11,37.335,137.1369444,21.5,0.17,自然公園等,,○
118,石川県,能登町,石川県柳田星の観察館「満天星」 ,2025/1/24 20:28,37.335,137.1369444,21.43,0.23,自然公園等,,○
119,石川県,能登町,石川県柳田星の観察館「満天星」 ,2025/1/24 20:39,37.335,137.1369444,21.4,0.18,自然公園等,,○
120,石川県,能登町,石川県柳田星の観察館「満天星」 ,2025/1/24 20:58,37.335,137.1369444,20.8,0.33,自然公園等,測定不可（ピントずれ）,○
121,石川県,かほく市,,2025/1/25 18:55,36.71861111,136.7044444,18.64,0.14,,,
122,石川県,能登町,石川県柳田星の観察館「満天星」 ,2025/1/27 19:13,37.335,137.1369444,16.73,1.12,自然公園等,測定不可（ピントずれ）,○
123,石川県,能登町,石川県柳田星の観察館「満天星」 ,2025/1/27 19:07,37.335,137.1369444,19.56,1.52,自然公園等,測定不可（ピントずれ）,○
124,石川県,金沢市,,2025/2/2 20:00,36.59833333,136.6686111,18.39,0.06,,,
125,石川県,金沢市,,2025/2/2 20:49,36.59833333,136.6686111,18.4,0.07,,,
126,石川県,かほく市,,2025/2/2 19:09,36.71861111,136.7044444,19.29,0.12,,,
127,福井県,大野市,,2025/1/21 18:39,36.01944444,136.5813889,20.49,0.09,,,
128,福井県,大野市,,2025/1/21 18:43,36.01944444,136.5813889,20.52,0.08,,,
129,福井県,大野市,,2025/1/21 20:38,36.01944444,136.5813889,20.6,0.12,,,
130,福井県,大野市,,2025/1/21 19:50,36.01944444,136.5813889,20.62,0.1,,,
131,福井県,大野市,,2025/1/21 19:40,36.01944444,136.5813889,20.58,0.09,,,
132,福井県,大野市,,2025/1/21 18:39,36.01944444,136.5813889,20.49,0.09,,,
133,福井県,大野市,,2025/1/21 18:43,36.01944444,136.5813889,20.52,0.08,,,
134,福井県,大野市,,2025/1/21 18:48,36.01944444,136.5813889,20.5,0.08,,,
135,福井県,おおい町,大飯郡おおい町名田庄三重,2025/1/28 20:52,35.41361111,135.6819444,20.88,0.13,農業地域,,○
136,福井県,おおい町,大飯郡おおい町名田庄中,2025/1/28 20:15,35.40527778,135.6402778,20.86,0.12,農業地域,,○
137,福井県,おおい町,大飯郡おおい町名田庄納田終,2025/1/28 20:37,35.39638889,135.5705556,21.21,0.24,森林山間地,,○
138,福井県,小浜市,,2025/1/22 20:32,35.48722222,135.8225,19.72,0.06,,,
139,福井県,大野市,福井県自然保護センター観察棟,2025/1/21 19:50,36.02111111,136.5825,20.8,0.06,自然公園等,,○
140,福井県,大野市,福井県自然保護センター観察棟,2025/1/21 20:37,36.02111111,136.5825,20.91,0.11,自然公園等,,○
141,福井県,大野市,福井県自然保護センター観察棟,2025/1/24 19:45,36.02111111,136.5825,20.85,0.09,自然公園等,,○
142,福井県,大野市,福井県自然保護センター観察棟,2025/1/24 20:36,36.02111111,136.5825,20.93,0.09,自然公園等,,○
143,福井県,大野市,福井県自然保護センター観察棟,2025/1/24 20:43,36.02111111,136.5825,20.77,0.12,自然公園等,,○
144,山梨県,北杜市,,2025/1/25 19:58,35.85666667,138.5025,20.8,0.09,,,
145,山梨県,北杜市,,2025/1/25 20:20,35.78888889,138.4641667,20.58,0.09,,,
146,山梨県,富士河口湖町,南都留郡富士河口湖町大石,2025/1/22 19:49,35.52416667,138.73,20,0.08,農業地域,,○
147,山梨県,富士河口湖町,南都留郡富士河口湖町大石,2025/1/24 19:37,35.52416667,138.73,19.79,0.09,農業地域,,○
