都道府県,市区町村,撮影場所,緯度,経度,撮影日時,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,備考,継続観察登録地点
北海道,名寄市,,44.30111111,142.40055556,2019/1/29 7:29 PM,19.65,0.12,,,
北海道,名寄市,なよろ市立天文台,44.37416667,142.48305556,2019/1/29 7:09 PM,19.77,0.11,住宅地域,,○
北海道,名寄市,なよろ市立天文台,44.37416667,142.48277778,2019/1/29 8:39 PM,20.14,0.10,住宅地域,,○
北海道,弟子屈町,,43.48444444,144.53916667,2019/1/29 7:52 PM,19.67,0.19,,,
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,43.45638889,143.76583333,2019/1/31 7:57 PM,20.53,0.13,森林山間地,,○
北海道,新ひだか町,静内二十間道路,42.38861111,142.42750000,2019/2/2 8:10 PM,20.86,0.12,農業地域,,○
北海道,新ひだか町,静内二十間道路,42.38861111,142.42694444,2019/2/2 8:11 PM,20.81,0.14,農業地域,,○
北海道,新ひだか町,静内二十間道路,42.38861111,142.42694444,2019/2/2 8:14 PM,20.85,0.14,農業地域,,○
北海道,新ひだか町,静内二十間道路,42.38861111,142.42694444,2019/2/2 8:15 PM,20.86,0.12,農業地域,,○
北海道,利尻富士町,,45.24972222,141.18777778,2019/2/2 9:35 PM,21.09,0.18,,観察時間外のため参考値,
北海道,弟子屈町,北海道川上郡弟子屈町,43.52416667,144.40222222,2019/2/2 7:34 PM,21.35,0.15,農業地域,,○
青森県,八戸市,青森県八戸市 湊高台二丁目,40.50527778,141.54027778,2019/2/2 7:44 PM,18.33,0.12,住宅地域,,○
岩手県,住田町,岩手県気仙群住田町 種山高原（遊林ランド種山）,39.18138889,141.39777778,2019/2/6 7:51 PM,21.33,0.18,森林山間地,,○
岩手県,住田町,岩手県気仙群住田町 種山高原（遊林ランド種山）,39.15805556,141.50083333,2019/2/4 8:34 PM,21.43,0.20,森林山間地,,○
岩手県,奥州市,,39.08638889,140.98666667,2019/2/2 7:58 PM,21.05,0.18,,,
岩手県,洋野町,ひろのまきば天文台,40.28972222,141.66472222,2019/2/2 8:20 PM,21.27,0.07,農業地域,,○
岩手県,陸前高田市,箱根山展望台,39.01361111,141.69472222,2019/2/2 7:39 PM,20.89,0.10,自然公園等,,○
岩手県,久慈市,岩手県久慈市長内町,40.18611111,141.79000000,2019/2/1 9:09 PM,20.29,0.32,住宅地域,,○
岩手県,金ケ崎町,岩手県胆沢郡金ケ崎町樺山遺跡付近,39.23666667,141.12972222,2019/2/2 7:11 PM,19.80,0.09,農業地域,,○
岩手県,二戸市,岩手県二戸市福岡 古梅児童公園の近辺,40.27138889,141.31444444,2019/1/30 8:12 PM,19.71,0.05,住宅地域,,○
岩手県,雫石町,コテージむら管理センター 近辺,39.63333333,140.96527778,2019/2/2 7:03 PM,21.55,0.27,農業地域,,○
岩手県,奥州市,,39.12972222,141.15750000,2019/2/7 12:33 AM,19.99,0.13,,観察時間外のため参考値,
岩手県,大船渡市,,39.10833333,141.79861111,2019/2/2 8:16 PM,20.89,0.15,,,
岩手県,住田町,,39.18111111,141.39805556,2019/2/2 8:00 PM,20.78,0.09,,,
岩手県,大船渡市,,39.08555556,141.70888889,2019/2/5 8:00 PM,18.43,0.12,,,
岩手県,大船渡市,,39.06277778,141.72055556,2019/2/7 8:01 PM,18.33,0.08,,,
岩手県,大船渡市,,38.98888889,141.74166667,2019/2/8 8:00 PM,20.70,0.09,,,
宮城県,登米市,ナイン・タウン駐車場,38.72194444,141.21416667,2019/2/5 7:59 PM,19.46,0.09,住宅地域,,○
宮城県,登米市,宮城県　登米市　旧中田沼,38.74138889,141.23777778,2019/2/5 8:25 PM,20.11,0.07,農業地域,,○
宮城県,気仙沼市,,38.85500000,141.62333333,2019/1/27 12:01 AM,20.56,0.12,,観察時間外のため参考値,
宮城県,岩沼市,宮城県岩沼市寺島蒲崎,38.07250000,140.92361111,2019/1/29 7:10 PM,19.65,0.12,その他,,○
宮城県,石巻市,,38.63083333,141.52611111,2019/2/2 8:07 PM,21.27,0.18,,,
宮城県,仙台市,,38.25611111,140.75500000,2019/2/2 8:22 PM,19.35,0.13,,,
宮城県,仙台市,,38.20611111,140.85388889,2019/2/4 6:42 PM,18.07,0.10,,,
宮城県,名取市,,38.15611111,140.86250000,2019/2/2 7:43 PM,18.38,0.06,,,
宮城県,南三陸町,南三陸ホテル観洋屋上,38.65750000,141.44944444,2019/1/27 7:24 PM,20.64,0.10,その他,,○
秋田県,美郷町,秋田県仙北郡美郷町,39.41000000,140.58000000,2019/2/2 8:22 PM,20.10,0.08,農業地域,,○
秋田県,横手市,秋田ふるさと村　第４駐車場,39.30111111,140.57888889,2019/2/2 7:33 PM,18.57,0.11,商業地域,,○
秋田県,横手市,,39.36472222,140.50277778,2019/2/2 8:13 PM,20.01,0.10,,,
山形県,山辺町,,38.23500000,140.21222222,2019/2/5 9:16 PM,20.08,0.05,,,
福島県,田村市,田村市 星の村天文台,37.34166667,140.67611111,2019/2/7 6:33 PM,19.68,0.23,自然公園等,,○
福島県,二本松市,,37.52305556,140.58944444,2019/2/7 7:38 PM,20.70,0.08,,,
福島県,葛尾村,,37.50444444,140.73888889,,,,,RAWデータではないため測定不可,
福島県,白河市,白河関の森公園駐車場,37.04472222,140.22861111,2019/1/30 7:17 PM,20.32,0.08,農業地域,,○
福島県,塙町,,36.89138889,140.48305556,2019/1/27 7:24 PM,20.77,0.09,,,
福島県,白河市,白河関の森公園駐車場,37.04472222,140.22861111,2019/2/2 7:28 PM,20.61,0.11,農業地域,,○
茨城県,日立市,,36.51055556,140.60500000,2019/2/7 1:07 AM,19.93,0.09,,観察時間外のため参考値,
茨城県,つくば市,,36.09694444,140.09722222,2019/2/6 8:17 PM,18.14,0.06,,,
茨城県,つくば市,,36.11111111,140.09777778,2019/2/6 8:38 PM,17.94,0.12,,,
茨城県,城里町,,36.43777778,140.35750000,2019/1/26 6:47 PM,19.57,0.08,,,
茨城県,城里町,,36.43777778,140.35750000,2019/1/26 7:28 PM,19.88,0.13,,,
茨城県,城里町,,36.43777778,140.35750000,2019/1/26 8:09 PM,19.97,0.14,,,
茨城県,高萩市,茨城県高萩市 秋山中学校付近,36.72305556,140.68833333,2019/1/27 7:59 PM,20.05,0.13,住宅地域,,○
茨城県,高萩市,茨城県高萩市 秋山中学校付近,36.72305556,140.68833333,2019/1/27 6:50 PM,19.97,0.08,住宅地域,,○
茨城県,ひたちなか市,茨城県ひたちなか市馬渡,36.40944444,140.57444444,2019/1/28 8:00 PM,18.59,0.07,住宅地域,,○
