都道府県名,市町村名,撮影場所,撮影日時,緯度,経度,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,備考,継続観察登録地点
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2019/1/17 19:32,43.45618997,143.7661242,21.18,0.14,森林山間地,,
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2019/1/17 19:31,43.45650149,143.7660921,21.21,0.2,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2019/1/18 19:23,43.45650539,143.766143,21.09,0.16,森林山間地,,○
北海道,弟子屈町,,2020/1/19 19:14,43.5550222,144.3331625,21.36,0.15,,,
北海道,函館市,,2020/1/18 20:52,41.77365879,140.7893372,18.3,0.13,,観測時間外のため参考値,
北海道,函館市,,2020/1/20 20:27,41.78633706,140.7572365,18.28,0.08,,観測時間外のため参考値,
北海道,新ひだか町,静内二十間道路,2020/1/23 20:13,42.38191971,142.4153234,21.15,0.18,農業地域,観測時間外のため参考値,○
北海道,新ひだか町,静内二十間道路,2020/1/23 20:14,42.38196314,142.4152975,21.11,0.11,農業地域,観測時間外のため参考値,○
北海道,新ひだか町,静内二十間道路,2020/1/23 20:16,42.38195704,142.4153548,21.15,0.08,農業地域,観測時間外のため参考値,○
北海道,伊達市,北湯沢温泉,2020/1/23 18:29,42.62436937,141.0257059,20.14,0.16,森林山間地,,○
北海道,壮瞥町,壮瞥町森と木の里センター周辺,2020/1/23 20:23,42.57154308,140.9091167,20.89,0.09,森林山間地,観測時間外のため参考値,○
北海道,弟子屈町,北海道川上郡弟子屈町,2020/1/19 19:03,43.52488838,144.40254,21.42,0.13,農業地域,,○
北海道,名寄市,なよろ市立天文台,2020/1/18 18:19,44.37415045,142.482985,19.71,0.15,住宅地域,,○
北海道,名寄市,なよろ市立天文台,2020/1/18 20:41,44.37412744,142.482985,19.12,0.11,住宅地域,,○
北海道,名寄市,なよろ市立天文台,2020/1/23 18:37,44.37410827,142.482985,19.67,0.19,住宅地域,,○
北海道,名寄市,なよろ市立天文台,2020/1/15 18:32,44.37414661,142.4829903,19.71,0.15,住宅地域,,○
青森県,弘前市,,2020/1/27 20:17,40.56309741,140.4843557,19.3,0.12,,,
青森県,八戸市,八戸市 湊高台二丁目,2020/1/25 20:33,40.50537368,141.5403306,18.73,0.31,住宅地域,,○
岩手県,雫石町,コテージむら管理センター 近辺,2020/1/24 19:52,39.63191215,140.9640607,20.88,0.13,農業地域,,○
岩手県,陸前高田市,箱根山展望台,2020/1/21 19:36,39.0135736,141.6949841,20.88,0.08,自然公園等,,○
岩手県,住田町,気仙群住田町 種山高原（遊林ランド種山）,2020/1/22 19:11,39.18135822,141.3981092,20.63,0.15,森林山間地,,○
岩手県,久慈市,久慈市長内町,2020/1/17 18:50,40.18627662,141.7900443,19.13,0.32,住宅地域,,○
岩手県,大船渡市,,2020/1/24 19:45,39.06339736,141.7213269,18.74,0.07,,,
岩手県,大船渡市,,2020/1/26 19:45,39.11065943,141.802824,20.29,0.37,,,
岩手県,二戸市,二戸市福岡 古梅児童公園の近辺,2020/1/26 19:06,40.27162257,141.3146845,20.28,0.11,住宅地域,,○
宮城県,名取市,,2020/1/19 18:47,38.15666737,140.8628127,18.4,0.1,,,
宮城県,南三陸町,南三陸ホテル観洋屋上,2020/1/22 18:47,38.6577067,141.4499831,20,0.26,その他,,○
宮城県,仙台市,,2020/1/26 18:24,38.20627391,140.8539909,18.47,0.23,,,
宮城県,柴田町,柴田郡柴田町本船迫,2020/1/26 20:04,38.07571711,140.7560334,19.08,0.86,自然公園等,,
宮城県,仙台市,,2020/1/26 19:25,38.2563808,140.7552508,19.43,0.18,,,
宮城県,登米市,ナイン・タウン駐車場観測地点,2020/1/26 18:17,38.72218284,141.214284,20.24,0.08,住宅地域,,○
宮城県,登米市,ナイン・タウン旧中田沼観測地点,2020/1/26 18:38,38.74148264,141.2378713,20.65,0.07,農業地域,,○
