都道府県,市区町村,撮影場所,撮影日時,緯度,経度,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,備考,継続観察登録地点
北海道,名寄市,なよろ市立天文台,2022/8/21 9:40 PM,44.37388889,142.48277778,21.22,0.07,住宅地域,,○
北海道,名寄市,なよろ市立天文台,2022/8/24 9:40 PM,44.37416667,142.48277778,21.49,0.14,住宅地域,,○
北海道,名寄市,なよろ市立天文台,2022/8/26 8:37 PM,44.37388889,142.48277778,21.04,0.08,住宅地域,,○
北海道,名寄市,なよろ市立天文台,2022/8/21 9:52 PM,44.37388889,142.48277778,21.13,0.08,住宅地域,,○
北海道,登別市,,2022/8/28 8:55 PM,42.46027778,141.10361111,21.16,0.09,,,
北海道,伊達市,北湯沢温泉,2022/8/21 9:54 PM,42.62416667,141.02527778,21.09,0.00,森林山間地,,○
北海道,伊達市,北湯沢温泉,2022/8/24 9:32 PM,42.62388889,141.02527778,21.03,0.14,森林山間地,,○
北海道,伊達市,北湯沢温泉,2022/8/26 8:50 PM,42.62388889,141.02527778,21.02,0.13,森林山間地,,○
北海道,伊達市,,2022/8/28 9:51 PM,42.63500000,141.06055556,21.58,0.14,,,
北海道,壮瞥町,壮瞥町森と木の里センター周辺,2022/8/24 8:53 PM,42.57138889,140.90888889,21.08,0.02,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/8/20 9:46 PM,43.45638889,143.76611111,21.73,0.19,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/8/21 8:19 PM,43.45638889,143.76611111,,,森林山間地,測定不可（設定エラー）,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/8/21 9:45 PM,43.45611111,143.76611111,21.81,0.12,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/8/24 8:40 PM,43.45638889,143.76611111,21.92,0.14,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/8/24 9:38 PM,43.45638889,143.76611111,21.86,0.08,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/8/28 9:42 PM,43.45638889,143.76611111,21.82,0.06,森林山間地,,○
北海道,弟子屈町,北海道川上郡弟子屈町,2022/8/24 8:23 PM,43.52416667,144.40222222,21.64,0.06,農業地域,,○
青森県,八戸市,,2022/8/21 8:03 PM,40.37944444,141.49888889,21.02,0.10,,,
青森県,八戸市,,2022/8/21 9:26 PM,40.49444444,141.53305556,19.43,0.06,,,
青森県,八戸市,八戸市 湊高台二丁目,2022/8/24 9:35 PM,40.50527778,141.54027778,19.30,0.05,住宅地域,,○
岩手県,久慈市,久慈市長内町,2022/8/22 8:45 PM,40.18611111,141.79000000,20.31,0.02,住宅地域,,○
岩手県,陸前高田市,,2022/8/19 9:43 PM,39.01166667,141.68916667,18.17,0.17,,参考値（薄雲）,
岩手県,陸前高田市,,2022/8/19 9:15 PM,39.01166667,141.68916667,0.00,0.00,,測定不可（設定エラー）,
岩手県,陸前高田市,,2022/8/21 8:22 PM,39.01166667,141.68916667,20.86,0.06,,,
岩手県,八幡平市,八幡平市 七時雨エリア,2022/8/21 8:16 PM,40.08527778,141.12027778,21.71,0.04,森林山間地,,○
岩手県,八幡平市,八幡平市 七時雨エリア,2022/8/21 8:16 PM,40.08777778,141.12944444,21.71,0.04,森林山間地,,○
岩手県,八幡平市,八幡平市 七時雨エリア,2022/8/21 8:16 PM,40.08777778,141.12944444,21.71,0.04,森林山間地,,○
岩手県,八幡平市,八幡平市 七時雨エリア,2022/8/21 8:13 PM,40.08777778,141.12944444,21.59,0.15,森林山間地,,○
岩手県,八幡平市,八幡平市 七時雨エリア,2022/8/21 8:13 PM,40.08750000,141.12944444,21.59,0.15,森林山間地,,○
岩手県,八幡平市,八幡平市 七時雨エリア,2022/8/21 8:13 PM,40.08666667,141.12972222,21.59,0.15,森林山間地,,○
