都道府県,市区町村,撮影場所,撮影日時,緯度,経度,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,備考,継続観察登録地点
北海道,札幌市　東区,,2023/1/24 20:57,43.12333333,141.3536111,16.71,0.1,,参考値（時間外）,
北海道,札幌市　東区,,2023/1/24 20:57,43.12333333,141.3536111,16.71,0.09,,参考値（時間外）,
北海道,名寄市,なよろ市立天文台,2023/1/15 19:10,44.37388889,142.4827778,20.02,0.06,住宅地域,,○
北海道,登別市,,2023/1/16 19:31,42.46027778,141.1025,20.58,0.05,,,
北海道,伊達市,北湯沢温泉,2023/1/12 19:11,42.62388889,141.0252778,20.19,0.06,森林山間地,,○
北海道,伊達市,北湯沢温泉,2023/1/18 19:07,42.62388889,141.0252778,20.09,0.06,森林山間地,,○
北海道,むかわ町,,2023/1/29 1:25,42.58638889,141.905,20.65,0.05,,参考値（時間外）,
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/1/12 18:14,43.45638889,143.7661111,21.15,0.11,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/1/18 18:58,43.45638889,143.7661111,20.44,0.08,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/1/19 18:45,43.45638889,143.7661111,20.25,0.06,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/1/21 19:27,43.45638889,143.7661111,20.3,0.07,森林山間地,,○
北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2022/1/22 19:42,43.45638889,143.7661111,20.04,0.3,森林山間地,,○
北海道,弟子屈町,北海道川上郡弟子屈町,2023/1/12 19:40,43.52472222,144.4025,21.3,0.1,農業地域,,○
青森県,八戸市,,2023/1/22 19:02,40.50527778,141.5402778,17.34,0.06,,参考値（薄雲）,
青森県,八戸市,,2023/1/22 19:04,40.49472222,141.5330556,18.42,0.1,,,
青森県,十和田市,十和田湖付近,2023/1/26 19:15,40.42527778,140.8975,18.72,0.12,自然公園等,,○
岩手県,久慈市,久慈市長内町,2023/1/22 18:13,40.18611111,141.79,18.99,0.12,住宅地域,,○
岩手県,陸前高田市,,2023/1/21 19:26,39.01166667,141.6891667,20.96,0.06,,,
岩手県,陸前高田市,箱根山展望台,2023/1/21 20:03,39.01361111,141.6947222,20.82,0.08,自然公園等,,○
宮城県,仙台市　青葉区,,2023/1/12 20:03,38.27805556,140.8744444,17.55,0.07,,参考値（薄雲）,
宮城県,仙台市　青葉区,,2023/1/21 19:05,38.25666667,140.7552778,19.26,0.06,,,
宮城県,仙台市　宮城野区,,2023/1/19 18:03,38.26555556,140.8980556,17.49,0.06,,,
宮城県,柴田町,柴田郡柴田町本船迫,2023/1/23 19:08,38.07555556,140.7558333,18.98,0.1,自然公園等,,○
山形県,朝日町,山形県朝日町　Asahi自然観,2023/1/19 18:47,38.30777778,140.0575,20.48,0.08,その他,,○
山形県,朝日町,山形県朝日町　Asahi自然観,2023/1/19 18:44,38.30805556,140.0572222,20.53,0.08,その他,,○
山形県,朝日町,山形県朝日町　Asahi自然観,2023/1/19 19:07,38.30777778,140.0575,20.51,0.09,その他,,○
山形県,朝日町,山形県朝日町　Asahi自然観,2023/1/19 19:15,38.3075,140.0575,20.52,0.09,その他,,○
福島県,いわき市,いわき市中央台鹿島,2023/1/17 18:46,37.0075,140.9241667,18.9,0.08,住宅地域,,○
福島県,いわき市,いわき市中央台鹿島,2023/1/19 20:01,37.0075,140.9241667,18.62,0.23,住宅地域,,○
福島県,いわき市,いわき市中央台鹿島,2023/1/20 20:15,37.0075,140.9241667,19.23,0.09,住宅地域,参考値（薄雲）,○
福島県,いわき市,いわき市中央台鹿島,2023/1/21 20:16,37.0075,140.9241667,19.28,0.13,住宅地域,,○
福島県,白河市,白河関の森公園駐車場,2023/1/21 18:59,37.045,140.2297222,20.63,0.06,農業地域,,○
福島県,広野町,双葉郡広野町,2023/1/16 20:09,37.21555556,140.9930556,19.99,0.07,住宅地域,,○
福島県,広野町,双葉郡広野町,2023/1/17 19:26,37.21555556,140.9930556,18.73,0.17,住宅地域,,○
福島県,広野町,双葉郡広野町,2023/1/19 19:49,37.21555556,140.9930556,19.85,0.07,住宅地域,,○
福島県,広野町,SUZUKI天体観測所,2023/1/19 18:54,37.19166667,140.9513889,20.44,0.07,森林山間地,,○
福島県,広野町,双葉郡広野町,2023/1/20 19:08,37.21555556,140.9930556,20.11,0.08,住宅地域,,○
