No.,都道府県,市区町村,撮影場所,撮影日時,緯度,経度,"夜空の明るさ
（等級（mag/□”））",ばらつき,周辺状況,備考,継続観察登録地点
1,北海道,小樽市,,2025/8/15 21:00,43.154,141.011,20.39,0.14,,,
2,北海道,小樽市,,2025/8/15 21:01,43.154,141.011,20.26,0.16,,,
3,北海道,名寄市,なよろ市立天文台,2025/8/19 21:47,44.374,142.483,21,0.16,住宅地域,,○
4,北海道,名寄市,なよろ市立天文台,2025/8/18 21:36,44.374,142.483,20.54,0.18,住宅地域,,○
5,北海道,名寄市,なよろ市立天文台,2025/8/21 20:53,44.374,142.483,21.06,0.08,住宅地域,,○
6,北海道,名寄市,なよろ市立天文台,2025/8/17 21:02,44.374,142.483,21.1,0.22,住宅地域,,○
7,北海道,名寄市,なよろ市立天文台,2025/8/16 21:42,44.374,142.483,20.45,0.3,住宅地域,,○
8,北海道,伊達市,北湯沢温泉,2025/8/17 20:49,42.624,141.025,20.95,0.19,森林山間地,,○
9,北海道,伊達市,北湯沢温泉,2025/8/24 20:18,42.624,141.025,21.13,0.14,森林山間地,,○
10,北海道,伊達市,北湯沢温泉,2025/8/18 21:45,42.624,141.025,21.06,0.08,森林山間地,,○
11,北海道,斜里町,,2025/8/19 21:24,43.907,144.8,21.63,0.28,,,
12,北海道,斜里町,,2025/8/19 21:02,43.907,144.8,21.67,0.19,,,
13,北海道,斜里町,,2025/8/19 20:50,43.907,144.8,21.53,0.16,,,
14,北海道,斜里町,,2025/8/19 21:14,43.907,144.8,21.58,0.24,,,
15,北海道,斜里町,,2025/8/19 21:10,43.907,144.8,21.88,0.25,,,
16,北海道,斜里町,,2025/8/19 21:35,43.907,144.8,21.69,0.27,,,
17,北海道,斜里町,,2025/8/19 21:38,43.907,144.799,21.63,0.11,,,
18,北海道,斜里町,,2025/8/19 21:41,43.907,144.799,21.52,0.06,,,
19,北海道,斜里町,,2025/8/19 20:40,43.907,144.8,21.62,0.2,,,
20,北海道,斜里町,,2025/8/19 21:32,43.907,144.799,21.57,0.09,,,
21,北海道,陸別町,,2025/8/15 20:25,43.456,143.766,21.82,0.16,,,
22,北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2025/8/23 21:39,43.456,143.766,20.76,0.29,森林山間地,参考値(薄雲),○
23,北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2025/8/21 20:17,43.456,143.766,21.61,0.11,森林山間地,,○
24,北海道,弟子屈町,北海道川上郡弟子屈町,2025/8/15 20:32,43.524,144.402,21.96,0.19,農業地域,,○
25,北海道,弟子屈町,,2025/8/21 20:58,43.618,144.442,21.94,0.28,,,
26,北海道,弟子屈町,,2025/8/19 20:28,43.618,144.442,21.82,0.26,,,
27,青森県,八戸市,,2025/8/24 21:02,40.495,141.533,19.36,0.11,,,
28,岩手県,陸前高田市,箱根山展望台,2025/8/16 21:17,39.014,141.695,20.95,0.11,自然公園等,,○
29,宮城県,仙台市　青葉区,,2025/8/23 21:49,38.257,140.755,19.45,0.11,,,
30,宮城県,気仙沼市,,2025/8/21 21:51,38.904,141.647,20.58,0.1,,,
31,宮城県,気仙沼市,,2025/8/21 21:05,38.909,141.578,19.83,0.12,,,
32,宮城県,気仙沼市,,2025/8/21 21:24,38.902,141.573,19.39,0.15,,,
33,宮城県,気仙沼市,,2025/8/19 20:32,38.878,141.558,19.55,0.16,,,
34,宮城県,気仙沼市,,2025/8/19 20:42,38.877,141.548,19.74,0.2,,,
35,宮城県,気仙沼市,,2025/8/21 20:37,38.911,141.569,19.77,0.11,,,
36,宮城県,気仙沼市,,2025/8/23 21:06,38.852,141.622,20.51,0.08,,,
37,秋田県,男鹿市,,2025/8/25 21:43,39.93,139.872,19.31,0.25,,,
38,秋田県,男鹿市,,2025/8/25 21:14,39.931,139.876,19.28,0,,,
39,山形県,天童市,,2025/8/19 21:12,38.353,140.376,20.63,0.16,,,
40,山形県,朝日町,山形県朝日町　Asahi自然観,2025/8/23 21:01,38.304,140.059,21.09,0.16,その他,,○
41,山形県,朝日町,山形県朝日町　Asahi自然観,2025/8/23 21:13,38.305,140.059,21.18,0.06,その他,,○
42,山形県,朝日町,山形県朝日町　Asahi自然観,2025/8/23 21:06,38.304,140.059,21.16,0.05,その他,,○
43,山形県,朝日町,山形県朝日町　Asahi自然観,2025/8/23 21:15,38.304,140.059,21.11,0.05,その他,,○
44,山形県,朝日町,山形県朝日町　Asahi自然観,2025/8/23 21:11,38.304,140.059,21.11,0.06,その他,,○
45,福島県,いわき市,,2025/8/21 20:10,37.01,140.846,18.77,0.08,,,
46,福島県,いわき市,いわき市中央台鹿島,2025/8/20 21:33,37.008,140.924,17.96,0.31,住宅地域,参考値(薄雲),○
47,福島県,いわき市,いわき市中央台鹿島,2025/8/19 21:45,37.008,140.924,18.54,0.08,住宅地域,,○
48,福島県,白河市,白河関の森公園駐車場,2025/8/19 20:11,37.045,140.229,20.5,0.06,農業地域,,○
49,福島県,広野町,双葉郡広野町,2025/8/19 21:24,37.216,140.993,19.99,0.15,住宅地域,,○
50,福島県,広野町,双葉郡広野町,2025/8/26 20:57,37.216,140.993,19.4,0.1,住宅地域,,○
51,福島県,広野町,SUZUKI天体観測所,2025/8/21 20:53,37.192,140.951,20.01,0.16,森林山間地,,○
52,福島県,広野町,双葉郡広野町,2025/8/26 20:55,37.216,140.993,19.4,0.14,住宅地域,,○
53,福島県,広野町,SUZUKI天体観測所,2025/8/20 21:08,37.192,140.951,19.57,0.11,森林山間地,,○
54,茨城県,つくば市,つくば市吾妻,2025/8/25 20:06,36.083,140.118,17.24,0.1,住宅地域,,○
55,栃木県,佐野市,佐野市 梅林公園,2025/8/23 20:07,36.354,139.609,18.41,0.1,農業地域,,○
56,栃木県,佐野市,佐野市 赤城神社,2025/8/19 21:44,36.297,139.577,18.34,0.08,住宅地域,,○
57,栃木県,佐野市,作原自然環境保全地域,2025/8/27 21:46,36.564,139.469,20.9,0.14,自然公園等,,○
58,群馬県,高山村,群馬県吾妻郡高山村ぐんま天文台,2025/8/22 21:10,36.597,138.974,19.07,0.21,森林山間地,,○
59,群馬県,高山村,,2025/8/22 21:18,36.624,138.956,18.98,0.23,,,
60,群馬県,玉村町,群馬県佐波郡玉村町道の駅玉村宿,2025/8/19 21:21,36.308,139.097,18,0.18,農業地域,,○
61,埼玉県,さいたま市　緑区,浦和美園４丁目公園,2025/8/26 21:41,35.896,139.732,17.46,0.09,住宅地域,,○
62,埼玉県,草加市,東武スカイツリーライン谷塚駅前,2025/8/23 20:17,35.817,139.8,16.88,0.12,商業地域,,○
63,千葉県,木更津市,,2025/8/16 21:13,35.464,139.874,18.26,0.09,,,
64,千葉県,松戸市,松戸市内,2025/8/26 20:35,35.779,139.904,17.21,0.11,住宅地域,,○
65,千葉県,松戸市,松戸市内,2025/8/23 19:59,35.779,139.904,16.84,0.13,住宅地域,,○
66,千葉県,佐倉市,,2025/8/16 22:16,35.747,140.235,17.8,0.09,,参考値(薄雲),
67,千葉県,佐倉市,,2025/8/16 21:36,35.742,140.197,17.12,0.28,,参考値(薄雲),
68,千葉県,八千代市,,2025/8/16 21:01,35.764,140.137,17.37,0.27,,参考値(薄雲),
69,千葉県,八千代市,,2025/8/16 20:29,35.757,140.106,17.84,0.11,,,
70,千葉県,鴨川市,,2025/8/20 19:59,35.16,140.148,20.1,0.15,,,
71,千葉県,鴨川市,,2025/8/20 20:41,35.086,140.098,20.12,0.1,,,
72,千葉県,鴨川市,,2025/8/20 21:35,35.129,139.973,20.34,0.03,,,
73,千葉県,鴨川市,鴨川市内,2025/8/26 21:30,35.139,139.997,20.22,0.11,農業地域,,○
74,千葉県,君津市,,2025/8/19 20:19,35.254,139.973,19.88,0.1,,,
