No,都道府県,市区町村,撮影場所,撮影日時,緯度,経度,"夜空の
明るさ
（等級（mag/□”））",ばらつき,周辺状況,備考,"継続観察
登録地点"
1,北海道,名寄市,なよろ市立天文台,2026/1/11 18:03:30,44.374,142.483,19.40,0.13,住宅地域,,〇
2,北海道,名寄市,なよろ市立天文台,2026/1/16 19:43:32,44.374,142.483,19.39,0.15,住宅地域,,〇
3,北海道,名寄市,なよろ市立天文台,2026/1/22 18:30:16,44.374,142.483,19.55,0.13,住宅地域,,〇
4,北海道,伊達市,北湯沢温泉,2026/1/21 19:22:34,42.624,141.025,18.73,0.22,森林山間地,,〇
5,北海道,伊達市,北湯沢温泉,2026/1/22 19:28:16,42.624,141.025,18.63,0.08,森林山間地,,〇
6,北海道,斜里町,,2026/1/12 18:12:36,43.907,144.799,21.44,0.10,,,
7,北海道,斜里町,,2026/1/12 18:33:52,43.907,144.799,21.47,0.08,,,
8,北海道,斜里町,,2026/1/12 19:15:57,43.907,144.799,21.45,0.08,,,
9,北海道,斜里町,,2026/1/12 19:28:45,43.907,144.799,21.54,0.09,,,
10,北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2026/1/9 18:34:30,43.456,143.766,20.73,0.15,森林山間地,,〇
11,北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2026/1/15 19:30:01,43.456,143.766,20.71,0.07,森林山間地,,〇
12,北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2026/1/9 18:28:54,43.456,143.766,19.09,0.13,森林山間地,,〇
13,北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2026/1/21 19:19:16,43.457,143.766,20.67,0.11,森林山間地,,〇
14,北海道,陸別町,りくべつ宇宙地球科学館（銀河の森天文台）,2026/1/22 19:37:59,43.456,143.766,19.57,0.18,森林山間地,,〇
15,北海道,弟子屈町,北海道川上郡弟子屈町,2026/1/9 20:41:42,43.524,144.402,21.37,0.08,農業地域,参考値（時間外）,〇
16,北海道,弟子屈町,,2026/1/12 18:46:39,43.618,144.442,21.61,0.19,,,
17,北海道,弟子屈町,,2026/1/12 18:46:39,43.618,144.443,21.64,0.15,,,
18,青森県,八戸市,,2026/1/14 18:41:04,40.494,141.533,18.23,0.09,,,
19,岩手県,久慈市,,2026/1/18 18:14:30,40.244,141.816,20.82,0.07,,,
20,岩手県,陸前高田市,箱根山展望台,2026/1/10 19:15:12,39.014,141.695,20.85,0.07,自然公園等,,〇
21,岩手県,陸前高田市,箱根山展望台,2026/1/10 19:30:43,39.014,141.695,20.89,0.07,自然公園等,,〇
22,岩手県,二戸市,二戸市福岡 古梅児童公園の近辺,2026/1/18 18:41:00,40.271,141.315,19.49,0.08,住宅地域,,〇
23,宮城県,仙台市青葉区,,2026/1/10 18:28:35,38.256,140.755,19.14,0.11,,,
24,宮城県,気仙沼市,,2026/1/20 22:27:05,38.771,141.513,21.06,0.14,,参考値（時間外）,
25,宮城県,気仙沼市,,2026/1/20 23:14:30,38.802,141.538,20.64,0.08,,参考値（時間外）,
26,宮城県,気仙沼市,,2026/1/20 23:26:54,38.814,141.563,19.08,0.59,,参考値(薄雲),
27,宮城県,気仙沼市,,2026/1/21 00:17:34,38.890,141.582,20.08,0.10,,参考値（時間外）,
28,宮城県,気仙沼市,,2026/1/16 18:44:01,38.892,141.588,18.41,0.14,,,
29,宮城県,気仙沼市,,2026/1/16 19:10:40,38.895,141.589,18.55,0.12,,,
30,宮城県,南三陸町,南三陸ホテル観洋屋上,2026/1/14 19:25:08,38.658,141.449,20.66,0.06,その他,,〇
31,福島県,いわき市,いわき市中央台鹿島,2026/1/11 19:50:06,37.008,140.924,19.18,0.10,住宅地域,,〇
32,福島県,いわき市,いわき市中央台鹿島,2026/1/12 19:39:48,37.008,140.924,19.38,0.10,住宅地域,,〇
33,福島県,白河市,白河関の森公園駐車場,2026/1/18 19:55:31,37.045,140.229,20.27,0.06,農業地域,,〇
34,福島県,田村市,星の村天文台,2026/1/18 20:10:07,37.342,140.676,20.46,0.10,自然公園等,,〇
35,福島県,広野町,双葉郡広野町,2026/1/10 19:13:41,37.216,140.993,20.04,0.07,住宅地域,,〇
36,福島県,広野町,SUZUKI天体観測所,2026/1/10 19:55:08,37.192,140.951,20.24,0.07,森林山間地,,〇
37,福島県,広野町,双葉郡広野町,2026/1/16 20:01:49,37.216,140.993,19.91,0.08,住宅地域,,〇
38,福島県,広野町,双葉郡広野町,2026/1/21 20:05:55,37.216,140.993,20.37,0.09,住宅地域,,〇
39,茨城県,つくば市,つくば市吾妻,2026/1/9 18:56:54,36.083,140.118,17.69,0.09,住宅地域,,〇
40,茨城県,つくば市,つくば市吾妻,2026/1/12 20:12:48,36.083,140.118,18.15,0.10,住宅地域,,〇
41,茨城県,つくば市,つくば市吾妻,2026/1/14 20:14:52,36.083,140.118,18.05,0.10,住宅地域,,〇
42,茨城県,つくば市,つくば市吾妻,2026/1/16 20:01:14,36.083,140.118,17.63,0.13,住宅地域,,〇
43,茨城県,常陸大宮市,,2026/1/18 20:02:08,36.651,140.289,20.53,0.08,,,
44,茨城県,城里町,,2026/1/11 20:07:19,36.438,140.358,19.81,0.08,,,
45,茨城県,城里町,,2026/1/17 20:09:53,36.438,140.358,19.67,0.07,,,
46,茨城県,阿見町,,2026/1/13 19:49:10,36.036,140.257,18.96,0.08,,,
47,栃木県,佐野市,佐野市 梅林公園,2026/1/9 19:37:30,36.354,139.609,19.03,0.08,農業地域,,〇
48,栃木県,佐野市,作原自然環境保全地域,2026/1/9 18:25:47,36.564,139.469,20.45,0.07,自然公園等,,〇
49,栃木県,佐野市,佐野市 赤城神社,2026/1/12 19:28:43,36.297,139.577,18.44,0.07,住宅地域,,〇
50,栃木県,佐野市,作原自然環境保全地域,2026/1/18 19:17:53,36.564,139.469,20.40,0.07,自然公園等,,〇
51,栃木県,佐野市,作原自然環境保全地域,2026/1/18 19:19:16,36.564,139.469,20.43,0.08,自然公園等,,〇
52,栃木県,佐野市,作原自然環境保全地域,2026/1/18 19:17:53,36.564,139.469,20.41,0.08,自然公園等,,〇
53,栃木県,佐野市,作原自然環境保全地域,2026/1/18 19:17:53,36.564,139.469,20.40,0.07,自然公園等,,〇
54,栃木県,塩谷町,星ふる学校「くまの木」,2026/1/12 18:30:00,36.800,139.847,20.03,0.08,農業地域,,〇
55,群馬県,前橋市,,2026/1/17 19:02:34,36.439,139.044,17.90,0.20,,,
56,群馬県,前橋市,,2026/1/17 19:15:37,36.410,139.053,17.84,0.27,,,
57,群馬県,前橋市,,2026/1/17 19:25:09,36.396,139.060,17.55,0.32,,,
58,群馬県,沼田市,,2026/1/22 19:00:36,36.609,139.043,19.86,0.13,,,
59,群馬県,渋川市,,2026/1/17 19:40:22,36.460,139.039,18.72,0.22,,,
60,群馬県,渋川市,,2026/1/17 19:53:04,36.496,139.058,19.22,0.21,,,
61,群馬県,渋川市,,2026/1/22 19:15:48,36.560,139.038,19.72,0.11,,,
62,群馬県,渋川市,,2026/1/22 19:34:07,36.492,139.007,18.23,0.14,,,
63,群馬県,高山村,,2026/1/9 19:36:38,36.591,138.963,20.25,0.13,,,
64,群馬県,高山村,群馬県吾妻郡高山村ぐんま天文台,2026/1/9 19:52:20,36.597,138.974,20.42,0.09,森林山間地,,〇
65,群馬県,高山村,,2026/1/9 19:05:28,36.624,138.956,20.08,0.12,,,
66,群馬県,高山村,,2026/1/17 20:20:15,36.597,138.974,20.31,0.16,,,
67,群馬県,高山村,,2026/1/9 19:30:56,36.595,138.963,20.32,0.08,,,
68,群馬県,高山村,,2026/1/9 19:21:59,36.614,138.963,19.68,0.07,,,
69,群馬県,玉村町,群馬県吾妻郡高山村ぐんま天文台,2026/1/12 19:04:33,36.308,139.096,18.25,0.13,森林山間地,,〇
70,埼玉県,さいたま市緑区,浦和美園４丁目公園,2026/1/13 20:12:42,35.896,139.732,17.48,0.10,住宅地域,,〇
71,埼玉県,草加市,東武スカイツリーライン谷塚駅前,2026/1/11 18:35:10,35.817,139.800,17.19,0.10,商業地域,,〇
72,千葉県,千葉市若葉区,,2026/1/23 02:32:10,35.608,140.226,19.44,0.05,,参考値（時間外）,
73,千葉県,千葉市緑区,,2026/1/12 21:12:32,35.518,140.245,19.15,0.11,,参考値（時間外）,
74,千葉県,船橋市,,2026/1/11 21:35:26,35.705,139.984,17.43,0.04,,参考値（時間外）,
75,千葉県,松戸市,松戸市内,2026/1/14 19:35:51,35.779,139.904,17.09,0.07,住宅地域,,〇
76,千葉県,佐倉市,,2026/1/10 22:04:57,35.747,140.235,17.16,0.33,,参考値(薄雲),
77,千葉県,佐倉市,,2026/1/14 20:46:01,35.743,140.198,18.50,0.08,,,
78,千葉県,旭市,,2026/1/22 23:46:23,35.759,140.634,20.11,0.07,,参考値（時間外）,
79,千葉県,旭市,,2026/1/23 00:17:05,35.683,140.644,20.41,0.09,,参考値（時間外）,
80,千葉県,習志野市,,2026/1/17 23:33:52,35.687,140.067,17.63,0.16,,参考値（時間外）,
81,千葉県,市原市,,2026/1/12 18:32:46,35.464,140.128,18.63,0.07,,,
82,千葉県,市原市,,2026/1/12 19:24:44,35.384,140.160,19.33,0.08,,,
83,千葉県,八千代市,,2026/1/9 19:05:55,35.761,140.146,18.31,0.08,,,
84,千葉県,八千代市,,2026/1/9 18:33:50,35.757,140.108,17.83,0.07,,,
85,千葉県,八千代市,,2026/1/10 20:13:13,35.728,140.067,17.03,0.10,,参考値(薄雲),
86,千葉県,鴨川市,,2026/1/11 18:11:27,35.160,140.147,20.40,0.07,,,
87,千葉県,鴨川市,,2026/1/11 18:59:49,35.085,140.098,20.04,0.08,,,
88,千葉県,鴨川市,,2026/1/11 19:53:14,35.129,139.973,20.30,0.06,,,
89,千葉県,鴨川市,鴨川市内,2026/1/13 20:15:18,35.139,139.997,20.11,0.08,農業地域,,〇
90,千葉県,鴨川市,鴨川市内,2026/1/15 20:15:20,35.139,139.997,19.85,0.13,農業地域,,〇
91,千葉県,印西市,,2026/1/14 18:55:53,35.833,140.131,18.15,0.08,,,
92,千葉県,印西市,,2026/1/14 20:06:24,35.821,140.228,18.73,0.10,,,
93,千葉県,印西市,,2026/1/22 20:16:44,35.774,140.194,18.67,0.06,,,
94,千葉県,印西市,,2026/1/22 21:02:02,35.800,140.231,19.01,0.09,,参考値（時間外）,
95,千葉県,白井市,,2026/1/14 18:25:07,35.813,140.077,17.95,0.07,,,
96,千葉県,匝瑳市,,2026/1/23 00:42:18,35.653,140.593,20.42,0.07,,参考値（時間外）,
97,千葉県,香取市,,2026/1/22 22:22:58,35.895,140.537,19.82,0.10,,参考値（時間外）,
98,千葉県,香取市,,2026/1/22 23:12:19,35.823,140.593,20.03,0.08,,参考値（時間外）,
99,千葉県,栄町,,2026/1/14 19:38:11,35.841,140.224,18.65,0.11,,,
100,千葉県,九十九里町,,2026/1/23 01:31:39,35.501,140.431,20.30,0.09,,参考値（時間外）,
101,千葉県,芝山町,,2026/1/12 22:30:41,35.720,140.417,19.17,0.12,,参考値（時間外）,
102,千葉県,大多喜町,,2026/1/12 20:06:42,35.309,140.248,20.07,0.08,,,
103,東京都,千代田区,,2026/1/11 19:21:16,35.681,139.765,16.39,0.09,,,
104,東京都,千代田区,,2026/1/11 19:50:31,35.678,139.758,16.55,0.09,,,
105,東京都,中央区,,2026/1/11 20:41:38,35.680,139.783,16.73,0.08,,,
106,東京都,文京区,東洋大学白山キャンパス１号館屋上,2026/1/12 18:41:07,35.723,139.751,16.99,0.10,商業地域,,〇
107,東京都,中野区,なかのZERO,2026/1/10 18:32:11,35.704,139.671,16.82,0.08,商業地域,,〇
108,東京都,杉並区,,2026/1/16 18:34:41,35.687,139.645,16.49,0.13,,,
109,東京都,三鷹市,三鷹市大沢,2026/1/13 18:54:14,35.674,139.538,17.38,0.08,住宅地域,,〇
110,東京都,町田市,,2026/1/17 19:18:00,35.587,139.449,17.10,0.09,,,
111,東京都,小金井市,都立小金井公園　いこいの広場,2026/1/22 19:22:06,35.716,139.517,17.26,0.12,自然公園等,,〇
112,東京都,羽村市,羽村市,2026/1/11 20:16:52,35.772,139.301,18.23,0.07,住宅地域,,〇
113,東京都,奥多摩町,西多摩郡奥多摩町 奥多摩湖大麦代園地駐車場,2026/1/9 18:40:28,35.790,139.043,20.21,0.08,森林山間地,,〇
114,東京都,大島町,,2026/1/11 18:20:38,34.749,139.354,20.39,0.11,,,
115,東京都,大島町,,2026/1/11 18:57:41,34.680,139.431,21.12,0.21,,,
116,東京都,神津島村,神津島村 よたね広場,2026/1/18 20:26:31,34.205,139.139,21.04,0.08,住宅地域,,〇
117,東京都,神津島村,神津島村 ヘリポート,2026/1/18 20:05:20,34.199,139.127,21.35,0.12,農業地域,,〇
118,東京都,神津島村,神津島村 赤崎遊歩道,2026/1/18 19:50:14,34.240,139.138,21.35,0.17,その他,,〇
119,東京都,神津島村,神津島村 三浦湾展望台,2026/1/18 20:14:26,34.192,139.144,21.26,0.16,その他,,〇
120,東京都,小笠原村,小笠原村父島　コペペ海岸,2026/1/10 19:01:33,27.064,142.193,21.91,0.13,森林山間地,,〇
121,神奈川県,川崎市幸区,,2026/1/10 19:40:33,35.553,139.694,16.73,0.21,,,
122,神奈川県,川崎市幸区,,2026/1/11 19:30:58,35.553,139.694,17.17,0.21,,,
123,神奈川県,川崎市高津区,,2026/1/11 18:27:54,35.607,139.613,17.01,0.23,,,
124,神奈川県,川崎市多摩区,,2026/1/12 19:13:47,35.614,139.573,17.29,0.10,,,
125,神奈川県,川崎市多摩区,,2026/1/14 20:21:02,35.618,139.535,16.66,0.12,,,
126,神奈川県,川崎市多摩区,,2026/1/12 19:13:27,35.608,139.561,17.50,0.06,,,
127,神奈川県,川崎市麻生区,,2026/1/12 20:13:50,35.614,139.463,17.83,0.11,,,
128,神奈川県,相模原市　南区,相模原市南区下溝,2026/1/22 20:12:39,35.538,139.374,17.85,0.11,農業地域,,〇
129,神奈川県,平塚市,平塚市岡崎,2026/1/12 18:54:30,35.369,139.321,18.26,0.06,農業地域,,〇
130,神奈川県,藤沢市,藤沢市内,2026/1/14 19:49:17,35.398,139.470,17.29,0.10,商業地域,,〇
131,神奈川県,清川村,神奈川県清川村,2026/1/19 19:52:31,35.462,139.214,18.88,0.11,森林山間地,,〇
132,富山県,富山市,富山県富山市三熊　古洞ダム付近,2026/1/18 19:36:54,36.660,137.103,18.87,0.11,自然公園等,,〇
133,富山県,黒部市,富山県黒部市黒部市吉田科学館,2026/1/9 18:55:00,36.901,137.425,19.69,0.08,住宅地域,,〇
134,石川県,金沢市,,2026/1/16 20:29:59,36.599,136.669,17.46,0.11,,,
135,石川県,金沢市,,2026/1/18 20:33:19,36.599,136.669,17.75,0.08,,,
136,石川県,金沢市,,2026/1/18 20:29:59,36.599,136.669,17.75,0.09,,,
137,石川県,かほく市,,2026/1/15 19:21:51,36.719,136.704,18.54,0.14,,,
138,石川県,かほく市,,2026/1/16 19:53:21,36.719,136.704,18.17,0.12,,,
139,石川県,かほく市,,2026/1/18 19:47:25,36.719,136.704,18.85,0.10,,,
140,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/16 18:47:37,37.335,137.137,21.12,0.10,自然公園等,,〇
141,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/16 19:09:33,37.335,137.137,21.16,0.09,自然公園等,,〇
142,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/16 20:01:37,37.335,137.137,21.09,0.10,自然公園等,,〇
143,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/18 18:33:38,37.335,137.137,20.93,0.07,自然公園等,,〇
144,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/18 19:00:36,37.335,137.137,20.99,0.07,自然公園等,,〇
145,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/18 19:30:03,37.335,137.137,21.06,0.09,自然公園等,,〇
146,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/18 20:03:59,37.335,137.137,21.04,0.12,自然公園等,,〇
147,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/18 20:07:08,37.335,137.137,21.00,0.12,自然公園等,,〇
148,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/20 18:44:30,37.335,137.137,21.20,0.10,自然公園等,,〇
149,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/20 18:45:39,37.335,137.137,21.28,0.10,自然公園等,,〇
150,石川県,能登町,石川県柳田星の観察館「満天星」 ,2026/1/20 18:46:44,37.335,137.137,21.22,0.09,自然公園等,,〇
151,福井県,大野市,福井県自然保護センター観察棟,2026/1/18 20:26:31,36.021,136.583,20.84,0.08,自然公園等,,〇
152,福井県,大野市,福井県自然保護センター観察棟,2026/1/18 20:35:30,36.021,136.583,20.78,0.07,自然公園等,,〇
153,福井県,大野市,福井県自然保護センター観察棟,2026/1/17 20:35:48,36.021,136.582,20.39,0.28,自然公園等,,〇
154,福井県,大野市,福井県自然保護センター観察棟,2026/1/16 20:21:27,36.021,136.582,20.87,0.11,自然公園等,,〇
155,福井県,大野市,福井県自然保護センター観察棟,2026/1/16 20:32:26,36.021,136.583,20.90,0.09,自然公園等,,〇
156,福井県,おおい町,大飯郡おおい町名田庄納田終,2026/1/9 19:45:19,35.396,135.571,20.72,0.18,森林山間地,,〇
157,福井県,おおい町,大飯郡おおい町名田庄納田終,2026/1/16 20:02:45,35.396,135.571,20.44,0.11,森林山間地,,〇
158,福井県,おおい町,大飯郡おおい町名田庄中,2026/1/16 20:18:57,35.406,135.639,20.81,0.33,農業地域,,〇
159,福井県,おおい町,大飯郡おおい町名田庄中,2026/1/10 20:22:27,35.405,135.640,20.89,0.18,農業地域,,〇
160,福井県,おおい町,大飯郡おおい町名田庄三重,2026/1/10 20:43:13,35.414,135.682,20.88,0.15,農業地域,,〇
161,福井県,おおい町,大飯郡おおい町名田庄三重,2026/1/16 19:39:55,35.414,135.682,20.21,0.08,農業地域,,〇
162,福井県,おおい町,大飯郡おおい町名田庄三重,2026/1/18 19:32:29,35.414,135.682,20.54,0.18,農業地域,,〇
163,福井県,おおい町,大飯郡おおい町名田庄中,2026/1/18 20:20:09,35.406,135.641,20.78,0.14,農業地域,,〇
164,福井県,おおい町,大飯郡おおい町名田庄納田終,2026/1/18 19:58:21,35.396,135.570,20.81,0.16,森林山間地,,〇
165,山梨県,富士吉田市,富士北麓公園駐車場,2026/1/19 19:10:40,35.457,138.767,18.97,0.14,自然公園等,,〇
166,山梨県,富士吉田市,富士散策公園,2026/1/19 19:21:48,35.456,138.804,18.84,0.37,自然公園等,,〇
167,山梨県,富士吉田市,富士吉田市大明見地内,2026/1/19 19:34:49,35.484,138.818,18.58,0.14,住宅地域,,〇
168,山梨県,北杜市,,2026/1/17 19:33:49,35.801,138.429,20.13,0.09,,,
169,山梨県,北杜市,北杜市白州町横手,2026/1/20 19:29:42,35.788,138.317,19.62,0.08,農業地域,,〇
170,山梨県,富士河口湖町,南都留郡富士河口湖町大石,2026/1/17 19:27:42,35.524,138.730,20.00,0.10,農業地域,,〇
171,山梨県,富士河口湖町,南都留郡富士河口湖町大石,2026/1/23 22:34:32,35.524,138.730,20.43,0.08,農業地域,参考値（時間外）,〇
172,山梨県,小菅村,北都留郡小菅村 小菅村ヘリポート,2026/1/9 19:51:35,35.763,138.940,20.55,0.06,森林山間地,,〇
173,山梨県,丹波山村,北都留郡丹波山村,2026/1/9 19:10:47,35.785,138.978,20.50,0.08,森林山間地,,〇
174,長野県,長野市,長野市立博物館,2026/1/20 19:51:53,36.592,138.189,18.42,0.13,自然公園等,,〇
175,長野県,長野市,長野県庁,2026/1/9 18:46:31,36.651,138.181,18.13,0.17,住宅地域,,〇
176,長野県,松本市,,2026/1/9 18:36:45,36.183,137.804,20.52,0.11,,,
177,長野県,松本市,,2026/1/9 18:34:08,36.202,137.856,19.53,0.09,,,
178,長野県,松本市,西南公園,2026/1/9 19:05:05,36.184,137.918,19.12,0.11,自然公園等,,〇
179,長野県,松本市,平田駅西口,2026/1/9 19:25:13,36.192,137.962,18.27,0.09,住宅地域,,〇
180,長野県,松本市,,2026/1/9 18:49:53,36.153,137.749,20.83,0.18,,,
181,長野県,松本市,,2026/1/9 19:13:28,36.046,137.703,21.16,0.10,,,
182,長野県,松本市,奈川高原,2026/1/9 19:13:28,36.046,137.703,21.16,0.10,自然公園等,,〇
183,長野県,松本市,,2026/1/9 19:29:08,36.086,137.683,20.98,0.12,,,
184,長野県,松本市,奈川渡ダム駐車場,2026/1/9 19:46:37,36.134,137.718,20.95,0.10,森林山間地,,〇
185,長野県,松本市,乗鞍高原・いがや,2026/1/9 20:07:05,36.120,137.643,21.19,0.08,自然公園等,,〇
186,長野県,松本市,,2026/1/9 20:20:35,36.119,137.616,21.16,0.09,,,
187,長野県,松本市,,2026/1/9 20:28:47,36.122,137.624,21.12,0.09,,,
188,長野県,松本市,松本駅西口,2026/1/20 18:42:19,36.231,137.963,17.75,0.12,商業地域,,〇
189,長野県,松本市,松本市中央,2026/1/20 18:58:21,36.234,137.977,18.06,0.12,商業地域,,〇
190,長野県,松本市,アルプス公園駐車場,2026/1/20 19:17:21,36.258,137.955,19.25,0.08,自然公園等,,〇
191,長野県,松本市,,2026/1/20 19:40:53,36.317,137.998,19.99,0.18,,,
192,長野県,松本市,,2026/1/20 19:56:12,36.358,137.996,19.28,0.27,,参考値(薄雲),
193,長野県,上田市,古安曽観測所前,2026/1/12 20:51:19,36.351,138.219,20.11,0.18,農業地域,,〇
194,長野県,上田市,古安曽観測所前,2026/1/16 20:30:21,36.351,138.219,19.66,0.06,農業地域,,〇
195,長野県,上田市,古安曽観測所前,2026/1/16 20:32:06,36.351,138.219,19.67,0.07,農業地域,,〇
196,長野県,岡谷市,,2026/1/16 19:16:57,36.067,138.050,18.57,0.11,,,
197,長野県,岡谷市,塩嶺王城パーク駐車場,2026/1/14 19:43:46,36.063,138.017,19.86,0.06,自然公園等,,〇
198,長野県,飯田市,,2026/1/9 19:00:53,35.455,137.854,20.49,0.08,,,
199,長野県,飯田市,,2026/1/9 19:17:24,35.445,137.816,20.29,0.09,,,
200,長野県,飯田市,,2026/1/9 19:05:32,35.297,137.927,21.06,0.14,,,
201,長野県,飯田市,,2026/1/9 19:15:28,35.297,137.927,21.02,0.10,,,
202,長野県,飯田市,,2026/1/9 19:53:56,35.450,138.004,21.14,0.06,,,
203,長野県,飯田市,,2026/1/9 19:58:17,35.450,138.004,21.16,0.11,,,
204,長野県,飯田市,,2026/1/12 19:41:35,35.453,137.823,20.31,0.09,,,
205,長野県,飯田市,,2026/1/17 20:20:06,35.427,137.873,20.98,0.10,,,
206,長野県,飯田市,,2026/1/17 18:24:20,35.468,137.765,20.19,0.09,,,
